delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
820188-22140-199085-252054-24137-117571-1868740-13414,28705-8604-61756-36592-13558-17838-143147-13327,20073-3622-4204-9219-14558-5667-15961-4574,3471-5197-5987-11808-14403-882-17997-8548,5213-2745-8071-4106-3073-1144-28080-5103,5060-3645-4820-6702-1307-582-10432-6175,5248-1843-4361-13602-3524-313-12164-6170,5420-2288-1366-15379-2173-162-3969-2635,easy,yes
124746-3584243-51049-263060-138485-841027-43756-41193,61363-152178-5987-50575-8730-27464-20565-36189,10643-28557-529-21206-12139-14907-2714-2734,4881-19359-971-90398-4133-12611-8307-1699,4572-16129-1486-6736-3865-11117-1989-5576,4766-44085-458-6405-12958-21154-2842-3788,3183-22449-550-5883-9429-13711-4178-6649,3006-7277-900-9805-3980-11559-1553-2772,easy,yes
17404-1195436-1119415-31449-377668-5850-20897-20182,16424-50229-300983-2685-19925-22055-3500-91353,6598-885-10379-2296-15690-7731-3735-9218,7431-7198-5216-1431-1910-50333-31042-12146,10796-8818-37846-3231-4588-7251-8243-3940,8766-14293-45133-6557-16247-12791-9006-34542,4694-7342-24769-5889-11499-8443-15044-9299,2884-2070-22648-6360-9986-11222-4910-12446,easy,yes
33504-43016-974456-125460-203646-97674-127753-5383,29830-62227-260752-11024-55954-9762-1747-47806,18385-11736-29601-3270-25116-681-225-52427,15161-9603-28754-5606-1708-2439-278-13187,9892-13316-17627-674-3193-714-603-10868,24906-6081-33457-4288-7844-2568-3623-33070,20278-8785-27759-4686-4591-2151-1955-27611,9851-3779-24097-1601-3004-443-971-13516,easy,yes
10265-1721321-52167-234164-233182-242399-323575-21218,7827-125150-93808-172621-11587-7073-49542-19748,22383-27270-8377-28310-6795-2271-4314-10442,11554-26217-8381-4863-1889-455-7759-1369,6741-8723-3925-6337-1916-1373-13149-3447,4298-3281-6197-7432-6932-1317-17165-5840,3382-5924-3992-10019-8315-2799-15099-5161,1289-2442-7424-3238-2321-2877-24998-1346,difficult,yes
8678-43214-216336-169648-1721087-855693-37196-242854,36096-23600-49803-176452-114470-337954-18153-25449,5156-1014-3048-48810-19256-7460-38650-7324,3588-1133-2017-20077-10753-7118-17015-8406,7200-1929-3270-20241-24718-33838-17747-2087,22898-985-1211-11931-6543-24562-43289-2599,12364-1779-1343-10137-3371-25256-17594-6012,9669-432-1179-9685-3944-27343-29379-2568,difficult,yes
116183-2212188-564405-34577-80693-54565-17318-282235,39881-326455-88674-44646-43047-14730-15330-59714,21415-257161-5781-54663-10292-1571-25068-1138,13830-21072-6319-19640-6654-8849-53155-2145,3933-11278-3395-15831-5259-4656-6626-824,4820-39173-8452-15929-6032-2380-14029-3311,1773-24270-6450-8972-6479-4804-7950-1236,1397-3700-8603-6591-5032-3918-23714-3386,easy,yes
29947-303894-62952-32549-190119-38010-3645-211202,8738-251831-66017-5710-31469-51265-10161-24999,4850-58278-26203-3409-4469-5549-7649-9407,387-29847-10234-13116-1632-4526-11273-5511,1258-15407-8003-9553-3270-1560-6475-1463,1375-38605-4942-41332-7609-2794-13419-6672,1347-19845-11617-52024-8180-3796-13129-11696,1253-18734-6878-13170-1456-1707-1898-1695,difficult,yes
35259-263328-228622-72927-284291-4459-6192-589289,57771-75238-30570-8063-24727-5048-4274-22646,11543-1580-2434-4944-1509-5607-5679-1906,38352-3627-4961-2646-7772-3355-5336-3941,7246-10741-5642-4204-2936-2624-5393-3040,23281-5576-1880-5516-2110-2745-9863-4727,7209-3105-3109-3710-3194-1211-6917-4770,2587-1642-2623-3734-1570-1938-1750-1163,easy,no
376291-3163279-21960-30012-1426284-63333-55430-68668,11835-144421-5386-31683-32502-6636-4506-21985,8192-41936-2457-20808-6235-11548-5466-519,6772-16351-1520-6327-20997-30992-10889-8003,5048-42240-2391-8357-16760-7926-5619-4243,3779-53414-2349-10206-14374-12854-9143-3774,4843-12127-2153-7494-20679-20267-7420-6113,2541-6281-451-4338-8257-5026-3997-3032,difficult,no
184824-724567-576861-127362-40797-10041-111151-74902,33291-43180-116050-33721-22157-11530-40856-38815,18422-14340-5920-8436-4051-4081-5310-22434,5909-6751-14600-6850-5368-7331-2489-3003,9427-24329-6541-7602-7431-12949-8146-2294,10289-13972-3222-7692-22027-17464-6101-5833,2715-5325-12716-8201-8497-5919-11147-2280,2549-2255-5343-3227-12023-7856-1533-487,difficult,yes
