delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
500442-1596700-83386-338786-293191-432080-9022-201224,4442-170543-21352-91140-32167-96470-2656-20468,1765-10774-3821-18780-28788-22194-4614-2429,1963-40437-3659-7607-25243-10286-4617-5031,1393-31157-666-1960-4444-6846-1093-3043,1845-17351-1391-2090-4522-5220-5287-3235,309-7717-1424-2410-1978-1195-3061-972,961-8031-1233-1517-1451-2755-1783-2343,easy,no
517284-1442709-1201276-105820-1149987-527674-32289-158695,142284-139047-131495-49064-20773-436562-49767-75393,14555-70877-495046-61048-12379-57253-20805-5791,12575-46021-158688-8594-4507-21338-3748-1338,8345-33661-152244-6344-7394-52454-3312-4061,6214-7623-104005-5711-2264-19622-4495-4429,6030-5817-34389-3501-2689-3384-4065-2924,2199-11639-11529-1120-1870-6259-1224-2687,difficult,no
267471-1345825-96291-75402-60866-697175-58260-322916,97678-316412-22047-25601-23741-404467-28007-49570,26385-48489-3097-734-3584-115058-1072-35354,7150-48407-3458-3463-8788-29842-9426-6867,6696-36101-5092-3576-3648-16369-5588-7624,3414-30140-4343-3655-5886-30078-6873-7410,5471-9787-8382-3603-2996-5406-2268-3846,2190-12134-2353-560-1259-9384-1493-1149,easy,yes
2003742-1031171-118076-1362865-221942-1281873-275822-80652,351674-268819-48912-221635-80662-78543-53456-33176,322105-17661-14166-31235-15195-83048-1151-8861,276951-103659-11132-21661-16868-25926-5863-4881,124441-9714-2054-11101-3273-25561-3529-1082,41191-20991-1909-7586-5192-6395-6645-2788,18939-12465-2252-3845-5397-5601-5146-980,53296-5731-901-6493-3042-1797-3857-524,difficult,yes
1570383-483079-30680-203181-152810-1177427-668955-15801,459901-31350-11890-129245-21519-89561-30369-17295,12626-2549-6830-18900-4403-19215-10441-8017,66455-2816-4211-14660-1871-2660-7006-15966,34588-2657-2352-16593-2462-5309-3039-9960,30726-17481-7349-3180-7754-14404-2482-18067,20395-2460-4836-4648-4916-7671-845-8292,22945-5261-4737-6770-6759-6004-1600-34681,easy,no
329917-151676-1309099-1481130-189521-897186-1767973-62624,69682-17178-44019-97091-27581-62050-92112-18211,15477-1854-35140-12688-2523-1898-27234-2839,5140-2320-36533-10140-3248-9694-15355-1389,18718-1515-7765-4997-1176-5949-5759-792,26510-1888-13226-6109-978-4715-10996-710,13433-727-5475-2312-914-3389-2838-724,5969-306-3121-4790-461-2002-1360-580,difficult,no
1381533-44547-1095956-139872-634069-121704-736389-44588,34175-26896-113528-128493-69778-99216-152688-22197,71771-7959-65723-7061-1448-11926-36015-1466,13096-3660-14975-10624-6021-13987-24536-910,3717-2631-5991-5424-3210-10339-12294-1495,5402-1948-5742-17848-8980-41922-16438-995,5240-650-2747-3517-5687-13728-25372-191,4209-521-3561-4393-2280-19448-16054-875,easy,yes
526399-835058-1029299-3064579-22464-587909-32188-530308,106491-79155-314732-167514-60869-238746-14332-475362,30467-23405-59138-58763-5594-34585-2030-398451,10638-9579-9025-20477-8022-16935-3922-137773,536-7961-14308-20782-5411-16716-2358-53680,6565-6546-14796-12647-5732-23253-1499-69998,4168-2118-6223-7512-1655-8441-628-26660,4939-1690-15316-9074-3652-4641-472-28315,difficult,yes
434648-159021-290640-83337-14000-88687-6233-88340,61324-46731-346327-2709-16320-15718-4950-7045,85216-6278-24823-123-1850-637-3101-710,20459-4122-39811-236-7935-684-3884-1554,22686-1695-6360-968-12023-3167-7051-639,9045-1658-37004-2703-8658-4494-12836-1019,8118-868-9391-1265-7310-1666-14015-733,3408-1071-13747-579-36163-2471-6789-731,easy,yes
808814-659790-239275-1448788-296075-90325-89041-161954,391072-290458-122017-212948-58783-60475-8144-17224,75504-6510-10307-18802-11907-15850-5565-6687,15565-58489-11493-18528-6953-6972-3310-665,8103-36993-7549-6718-3769-4253-1758-4068,17935-16756-9339-8644-5112-6781-1724-2406,9858-14433-3313-3071-3775-2205-749-848,9017-10815-2860-2890-2468-2262-766-761,difficult,no
1145387-531015-553163-772200-1051765-23535-897270-229803,370906-217459-139365-207603-301094-26375-197365-26222,227248-50123-91967-19712-72745-17463-133795-10329,57943-11062-75715-9133-19538-15908-40661-3940,39709-5720-13238-12025-31031-23268-60786-5961,34968-17896-17625-5283-24006-13910-22728-5659,6634-13074-17208-3844-16910-9959-17586-3438,11378-9565-9698-2244-14058-4856-9016-4287,easy,yes
816864-1377345-826259-711643-1090288-1005335-2575515-58752,68124-304381-94422-117736-220051-316377-81646-19680,15963-19778-17354-40162-10445-38334-160016-26146,12174-38594-12612-17306-16070-8363-19547-5924,16480-19530-17925-14869-9168-17149-41546-1157,11454-25974-20533-15045-8966-12647-39918-2667,14713-37969-38538-10764-5498-4499-11590-3539,2500-11005-19817-2538-7205-2881-18001-1205,difficult,no
