delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
183538-725305-13657-176086-84746-787692-48819-145353,10865-229015-7388-153806-17409-30566-43891-53679,2914-66251-15666-60935-5014-36041-19223-6552,4581-39723-1761-27558-2180-39581-8953-9478,2228-19780-5023-36859-3275-14609-10953-6387,8450-49559-6623-39998-1178-19577-25112-9376,4419-18211-3802-7575-322-5103-3618-5187,1426-13827-2353-11408-291-2917-3403-4374,difficult,yes
56787-57453-6608-1266923-22944-409954-62018-7808,4543-11536-5980-630579-18799-68400-45978-19169,6928-31035-1185-29607-3956-36103-14747-2725,3479-31363-1933-26206-9130-24561-22171-6984,2767-30193-6849-30154-4436-26906-10089-2379,4286-30862-13777-19167-9379-24927-6749-10968,1467-8778-1297-2416-1261-3694-1066-2152,1150-3632-2061-3017-956-4620-875-791,difficult,yes
98133-166358-16818-104895-47142-181675-44907-137598,39476-182774-1972-24608-41556-30740-26046-127782,9683-12466-1262-6824-37908-20321-2465-68696,14878-4332-2531-1642-30160-97081-13827-4909,25471-40368-1268-2805-78415-8173-4484-16704,13108-11304-9821-4017-26693-15853-4961-31031,6226-12428-2642-792-5389-2084-703-7730,2511-11294-1856-2229-2710-1307-808-2358,difficult,yes
376180-91130-22094-235873-119829-18580-12047-1856532,10592-23400-5349-26342-32170-8202-4651-67880,1079-7940-24130-1359-56706-8489-11441-91147,1511-19901-144571-19448-107539-4936-20687-25221,9533-4254-5644-6162-12803-3044-856-25592,2980-4356-15311-5998-16946-4425-3898-34228,964-2176-4578-1202-4407-1077-613-16362,1379-628-3081-1197-4117-537-865-13257,difficult,yes
156798-11850-871390-12264-4622-212298-3173-59210,17657-15499-36241-12900-12678-25707-4174-57599,43789-4271-45949-5288-8503-7704-4590-15966,27357-9035-14196-2226-3747-9398-1790-5693,10267-4298-23262-4330-5937-11462-723-1646,21686-7740-28352-14688-20308-23469-11865-15318,4370-2233-5449-6232-4476-8416-2848-3194,2647-1390-4826-5367-6399-5919-1909-1476,easy,yes
59035-368131-69023-5246-1391483-6891-12178-21814,24776-55883-26957-5357-76856-21263-35395-13971,8978-11626-14617-4987-23322-44053-108893-13400,5540-10190-24557-7615-67500-148476-192714-70018,15764-14613-4836-5987-7775-10333-21176-13389,14743-6978-7400-9691-30114-6703-16286-18392,1793-877-2737-2399-15402-5860-3096-2709,3711-512-500-991-9256-1607-1938-2877,difficult,no
67780-9583-374711-16180-8010-1918-13977-15088,13594-79218-22304-10400-12482-53379-31066-20885,12054-35933-12474-24544-99686-42842-21217-3680,15875-5684-1302-161225-99853-188310-80247-5838,2546-36308-5513-5260-16534-6326-12898-5407,7163-23685-6904-35910-24351-41620-18670-10079,1816-7984-1616-2186-2486-2691-3641-2966,1309-4170-723-2600-2076-1729-715-1284,easy,yes
227994-12735-59505-61893-459627-97602-18303-514097,50507-53886-44213-34256-43426-15138-35892-90765,20570-30931-7306-14113-39276-27171-19679-146313,6063-21103-9740-33541-110466-32195-77977-61177,4092-30231-5409-74631-20548-2220-8900-18330,9255-20374-10627-13915-22849-4122-13669-27304,2138-18261-2096-3469-4847-741-4722-3384,634-10500-957-3350-1201-272-1424-1647,difficult,yes
130699-103383-16235-76256-56146-147080-18224-734942,18551-45917-61801-22237-52073-65741-28122-30841,3172-437-10549-33775-76291-82558-39311-15010,1613-4515-35718-160150-47728-77866-81398-33913,3406-3601-21876-16344-7558-23001-3716-13094,3142-3380-12192-35856-13752-14386-24509-23224,899-868-5690-3539-3103-3525-1849-4549,599-832-9217-4989-1869-1835-3098-4058,difficult,yes
2693-16708-639876-8688-28101-55983-64065-69924,9674-17410-92681-16481-13893-30105-42575-12988,2954-7751-7939-36209-57228-17049-30391-21256,10544-3995-15366-109981-88562-176505-56445-20808,4505-8636-10305-14482-7564-5302-12588-7001,21081-13028-3261-13154-16363-15041-16414-8124,4092-5712-2247-4305-5716-1514-4240-4349,2869-13976-2382-1863-1059-3216-1327-3378,easy,yes
