delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
1407178-569728-760753-891878-1710814-120883-907239-657842,199158-1439659-135617-408168-233789-12946-287400-62342,12746-118286-54644-91396-16613-6107-18864-23453,68122-24627-74766-34687-35871-4444-3250-28182,13841-14684-33380-28378-20858-3984-24229-7446,19484-41749-31162-86613-19724-4342-5721-10018,14930-91350-9347-56968-22541-6132-8931-8710,10473-22151-21966-23987-4752-1125-10955-4050,easy,yes
1231387-596923-550929-352698-58325-119086-2120954-2313712,240523-44372-20240-54445-99535-31255-30577-253066,37548-12887-8303-12385-9731-19800-11474-32724,67304-4054-5216-17556-6091-12705-10416-5882,19072-5993-3052-12236-8047-6203-18646-15207,63780-7286-3980-7736-3283-1709-19940-24220,11736-4785-872-1307-1330-1346-5927-12748,5970-2660-786-3893-1689-531-4721-11427,easy,yes
169075-40238-50648-1918811-2686297-122794-545980-576395,45227-25918-150919-785054-172238-11838-375131-101847,17066-7260-8683-544847-15066-343-30350-25970,13598-6819-5085-277796-19335-1351-43234-10490,22536-11976-4833-46913-30120-2003-14091-13734,9789-12054-5162-41349-10088-5840-27376-7953,4893-19100-4105-88462-6911-3228-12842-8655,15427-15149-5040-25922-8664-1732-8843-4167,difficult,yes
1311003-386883-55489-48945-706087-557547-1700090-10795,59939-102411-48016-121180-175622-55630-530806-15753,17453-30937-9431-20814-8241-8485-240562-2625,18618-5827-4129-12921-29380-2933-75218-9288,7616-9508-2718-16563-55991-2446-28989-1011,13348-6369-3852-13600-14729-2758-85768-1860,6269-2679-1091-1768-6068-5329-55037-1522,4026-1048-1133-5896-2317-1683-48720-767,easy,yes
863108-53916-1412714-208798-2422804-162903-141762-2252120,326458-18620-164164-140103-758678-16055-41173-206090,12389-8476-245074-18892-11580-7755-8951-52817,32974-15399-107601-13399-13429-2688-9986-4132,18054-9826-60633-8791-26612-4084-2338-25033,9462-5540-31569-4775-17816-1404-3466-33018,6840-6459-11153-1497-8285-1034-753-17137,3690-4838-6626-1130-4210-172-574-6904,easy,yes
254912-68562-174094-333585-8629-260940-196295-143895,193872-23410-52413-44307-17165-38391-42885-104042,19210-1757-17541-2947-3124-4407-19238-3759,14812-2472-8742-3910-1780-15095-12292-21188,17632-783-2245-7491-10570-5423-3660-42549,7364-275-4015-2143-3625-12370-1189-9802,3379-573-2320-2211-2652-2349-1394-5642,4982-566-1170-1148-2394-1155-1076-4555,difficult,no
329893-260611-975570-1410157-2519981-207237-1563257-748270,143819-226674-410772-613787-693866-399257-566369-162583,5906-20171-26761-215652-255026-17652-11326-25399,23738-5438-39615-157013-160902-11608-18084-15276,7686-3201-22783-58982-17734-22490-43296-4872,7403-6644-15699-42431-43113-6063-20336-8556,10855-7189-4892-50852-12843-7134-9224-5613,6166-2004-12166-30879-13386-3488-3346-3428,easy,yes
141630-466306-290494-125545-2020200-284844-639157-328306,30074-108029-137886-74387-238126-57165-202049-296826,4085-68010-5021-7411-16440-46001-13429-11903,1351-16951-23510-5435-11092-28677-13518-23179,6465-27468-12376-2945-21809-19768-6501-31886,2905-20743-3859-5925-8296-3639-7472-7649,5572-20444-3730-3380-11147-14914-1280-7801,708-9074-3774-1651-5742-10551-2176-6872,easy,no
83519-1281710-456819-7233-823207-55395-234322-314493,10388-94006-22297-28489-259366-18104-12199-19263,10667-48323-14085-2675-67267-1705-6732-8858,2437-18232-1954-461-19733-869-5249-2361,2864-25889-5966-708-16699-827-4983-2530,3662-6615-5787-1558-29256-369-4369-2438,658-2805-441-549-8838-157-1259-544,591-2442-1088-216-9189-179-830-597,difficult,no
130683-1204521-291307-137232-1566991-303430-755030-2044613,45231-216037-99893-12995-115297-105316-49868-86060,1173-15907-5209-4635-14083-65090-37015-36866,6939-15072-6442-1431-15701-23948-6799-12040,2944-43752-1115-4836-6321-3913-10251-18287,3627-8228-5830-2408-20967-3752-21418-11609,4193-3008-2720-874-12169-1628-8986-26926,1603-8275-645-524-8332-1538-13777-16226,easy,yes
1022435-114054-151912-258150-37439-128550-85352-226334,39351-38343-7138-198547-3981-43069-32589-17864,28601-3739-598-41605-1482-4297-6215-4697,35696-6198-2472-20283-1631-13339-2537-2798,16895-4437-1907-8367-607-2342-5130-1198,18196-2479-1570-17317-4394-2561-2588-1276,37976-584-253-5386-2017-1476-1478-712,11957-1033-315-1710-656-629-1174-347,difficult,yes
604811-233627-932788-1311877-83298-15984-51454-120158,453890-167425-156003-246550-29646-9409-90986-33208,188311-30610-14041-11624-5744-2578-22052-15490,13474-12080-9837-80704-4443-7401-39475-7864,18059-9084-7318-15327-1811-12016-36754-5303,22624-5718-9297-13885-704-9425-12409-2635,32766-2247-4261-3711-512-4514-2028-3506,7323-955-10470-7938-259-2437-4144-2984,difficult,yes
1851287-1864195-980746-2113008-19387-97092-610648-986511,94131-1124551-657504-310051-11610-109985-294351-24236,64965-289154-57613-86239-6897-16583-4353-11975,36132-99142-137693-279346-888-12124-4232-4500,18576-60048-34451-73520-2397-5706-7962-9642,19616-50948-32996-37959-2608-2538-19781-5755,13360-71005-40949-24029-1135-1682-3796-4110,5168-25893-27247-17152-770-320-11853-4399,difficult,yes
1785296-397272-671783-288607-768395-86823-28142-459030,237567-175554-125026-60779-212042-18953-14710-59620,25678-65313-14633-48923-5170-11614-8250-31064,20330-20388-4135-16181-23031-22857-1673-11266,48200-16914-5696-7628-10092-12607-3867-2415,14508-20073-11365-9156-7135-17472-2597-3944,36375-7009-907-2548-3828-10330-3101-2563,11163-9047-694-619-4928-3287-812-2014,easy,yes
1296653-766732-2014072-550597-342811-21892-1173642-1173642,178255-531332-86060-77038-108553-8684-508077-508077,30692-29194-14612-42969-97763-5751-94341-94341,5445-83965-51788-37667-17216-2835-232657-232657,5326-40999-16337-3361-65654-2724-89740-89740,7691-17139-18783-4365-13630-1998-19479-19479,14360-34837-7964-6889-4142-574-54598-54598,6565-22200-10425-6611-4972-177-46896-46896,easy,yes
617815-584758-96224-2452836-41976-301796-259003-2201079,180862-190636-52457-84051-5174-56793-221601-189163,30195-48094-12072-34137-5847-6248-14118-63942,11654-23964-27306-19948-11943-3865-13486-25032,13994-6240-13502-34200-15844-5380-17396-11371,21467-9828-3339-26611-7814-3110-17134-12160,12088-4598-2401-6550-5687-1084-10933-13873,3723-3179-893-5492-6487-463-2283-3740,easy,yes
1170018-95775-48343-704811-687400-1698661-94002-234826,110308-41030-15318-51649-327186-546739-46971-44167,6739-4085-3619-19795-40752-63663-6539-4104,18449-4411-1335-17053-39445-13428-4683-12305,10510-1896-1370-9406-20183-31066-5120-12338,6526-4035-10331-3039-17210-18819-2865-8478,2496-3816-3707-1877-7546-5770-655-8499,2517-1899-1322-4155-8552-4633-468-4463,easy,no
