delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
92570-657955-112192-381349-7089-157441-167346-1470475,25279-54536-10323-129559-13710-35416-67737-18625,4966-8632-5641-77491-21191-13329-32095-9243,20109-2938-3364-37054-6019-1439-1200-42047,11266-4144-3689-13211-4519-7475-7872-17677,10972-4688-892-8398-8878-8566-2253-6420,7542-10449-239-5122-1908-3500-764-8487,2677-10371-164-5495-2223-3028-853-6952,easy,yes
242931-573462-56876-68456-4996-10470-135578-2874030,59791-65389-2954-60780-3185-7779-76635-269310,11616-11345-15084-4440-8196-16982-10044-64442,4162-9646-3193-5387-8664-9417-5327-49922,3863-8323-1035-1761-6363-10221-6171-17709,4074-13674-4046-2640-1643-14651-2720-14187,881-5897-2580-606-1247-5851-1511-7904,370-8538-1370-337-648-3829-635-3715,difficult,no
23655-711643-84978-679143-254828-16141-122659-216414,11889-56080-94677-24791-39461-9549-66469-85201,12416-10240-9443-13266-10485-13527-10780-22199,10173-5234-43551-7079-3718-3717-7039-29769,2328-4862-27643-3764-2692-1930-5654-19043,2280-2012-16200-2124-2382-1208-1609-24308,1745-850-2763-1103-871-620-916-1789,3049-694-8101-534-906-1197-1009-4163,easy,no
22216-1738-275856-450090-1097613-87528-6035-217812,77060-9056-17589-121768-59512-4956-5797-13370,15791-5416-14230-9478-21504-8170-46004-1447,33479-16292-5433-82652-3046-244-11193-590,6120-4178-5064-15535-4960-3176-10093-5084,10479-1039-3530-9375-3169-2842-14269-1469,3920-2734-1699-3996-924-1264-5414-1182,2487-1366-967-7526-3142-897-6740-915,easy,yes
1032524-1393942-1971928-393230-73402-392367-2756-54894,76771-120316-252888-134606-80116-283153-26705-10057,57002-173612-49891-13491-7019-53017-61146-2886,7226-17389-26393-52704-11886-26712-20166-11816,19492-12780-35399-20142-6135-7065-7625-1628,9890-42884-17070-5563-7198-6177-19454-3472,9884-48351-7732-12004-4156-2042-31244-5206,8121-32026-11923-5719-4354-4251-12381-1444,difficult,no
11597-478987-167036-37326-1618-2081-71588-6429,29932-26288-51114-5095-2607-12032-25669-5067,23985-8432-6068-11228-975-36525-3404-106401,30839-3035-9917-4470-1674-7154-11685-27873,33981-3214-9874-1661-1921-6786-3703-12998,9013-3284-4912-4424-3949-15048-2895-4161,7410-2207-3023-1569-2248-11969-1907-10576,8823-449-1639-2881-1291-6525-1790-5645,difficult,no
5185-1004145-84072-2980-98255-105339-98238-740506,1871-77167-31103-3546-47644-18810-55283-252868,3477-22421-3454-2299-16157-8409-25286-41418,9964-21114-6667-2945-17331-4583-24804-27040,2400-4320-3088-843-7517-1747-5455-6172,2248-13122-5161-1644-10824-2650-12490-8862,1287-16205-1203-1744-5387-2648-7362-7871,2121-11970-2390-1750-7193-3215-6815-11078,easy,no
2352-104951-234894-24085-510502-91513-75690-33589,25391-55413-19986-19432-20492-10024-8648-46375,18992-3503-7175-13357-8892-17541-10297-143026,6752-5077-11948-14212-3736-1382-6298-17516,9486-3498-4306-9947-3803-2328-2372-10434,10637-1998-4378-4777-2041-1265-2326-16816,6633-830-1680-3594-868-779-1059-5611,4354-1130-1379-4444-504-1180-1294-2858,difficult,yes
51129-140403-569421-178048-1747716-2285-13215-439562,3127-63294-35869-182884-75868-7036-12020-27878,1325-34953-13318-9309-33218-38219-10641-4204,692-49507-6793-29713-19530-54069-9522-2737,763-11676-2236-20757-7491-5490-4494-3217,1485-13558-2207-12813-6878-13618-4044-1955,297-10902-878-7649-2255-8610-3125-1311,171-15117-677-11390-2571-4785-1060-560,easy,no
150787-258012-494925-4649-100053-4356-7993-509212,33113-20326-20769-47345-28549-14708-29686-96083,8953-4875-6806-14678-13954-7623-136671-42069,9516-4646-3065-12314-4278-21805-18827-23007,2793-802-4921-4417-2216-14777-24178-15615,5881-956-1410-10311-4539-5845-5020-13299,1177-421-585-8114-330-8961-6562-6191,499-492-579-4574-1242-1771-2303-4648,easy,yes
435422-7860-25846-92861-1373849-37489-415232-1119234,49423-115048-20408-46039-65800-9333-39115-195271,36057-90507-11815-5556-41534-11351-4811-96761,121022-4858-7237-3507-10427-185713-21132-35650,14725-12860-2100-564-4774-7155-5007-9268,7437-11510-1880-2926-10909-7954-2251-7802,3398-4277-3460-866-1391-3541-1921-3145,1712-2960-1882-1360-3734-2382-525-7787,easy,yes
36190-58465-112410-191031-2260-67814-3953-98064,37877-20479-21538-20829-16385-22043-92766-221849,13235-56081-7128-4381-33580-21804-157709-14522,2199-9135-4495-3024-11727-2644-12373-5331,3630-12549-3529-2143-5557-2773-20678-5317,6377-8628-2711-878-6701-3787-8723-2698,4458-8795-1242-347-10722-1281-4623-1838,436-3972-788-151-2123-439-1823-949,easy,yes
96128-614105-107852-5478-188924-151288-293537-182125,58693-211257-59117-10641-10279-12270-58481-53350,54470-120224-7072-5085-2448-6987-5288-3585,7899-16408-754-26687-349-5308-8443-15494,5860-39663-845-14039-899-2192-1917-4206,4536-33826-902-9293-1032-6433-3631-2995,5494-31221-2387-10337-518-819-1620-1654,3283-17820-837-9349-480-839-1280-1847,easy,yes
936158-534482-1561408-561472-80755-19294-68321-109426,135537-65485-61274-139412-8680-37064-30173-36165,98980-17168-24257-58689-1329-8912-3070-1948,29967-34486-7589-14527-2287-5168-3748-10935,27405-30009-15052-8682-876-8435-3915-1216,24029-14477-9005-28045-2523-21712-3058-3600,26356-33067-7310-40509-648-16384-2467-4212,14775-9029-11105-14344-1809-9879-4853-3936,difficult,no
