delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
257256,212071,121382,8704,28665,57822,29081,36883,187307,37562,6651,5173,780,4215,2530,1825,0
1323767,126980,18612,14687,15328,27665,23320,12975,1197209,115785,1743,5718,4093,19751,13146,12688,0
2108310,302639,212254,82402,60501,190857,105259,57293,453985,293397,24631,80501,56131,49555,28034,33138,0
1003180,19852,7348,13101,10013,56719,20156,18794,6298,4927,4063,9376,8825,6292,12163,8377,1
794706,112182,28466,15370,16561,20351,12670,10490,119036,87285,15448,6813,6805,7876,10308,8387,1
1282056,405072,194155,68885,21570,65712,37043,47422,1154053,53431,17638,13137,13500,22276,22183,17310,0
1293589,104177,23859,55914,11324,35133,38577,10909,68164,103630,12026,23281,9175,17341,31148,9992,1
1208263,402176,62178,34507,32619,62219,169192,43622,1109615,67430,37008,5786,12446,24252,19779,11208,1
1067591,195658,102354,17799,43754,62336,124470,120545,81124,45091,1557,1917,3270,14920,3358,4159,0
1317516,20315,14801,8325,2518,6426,3546,2427,625769,17820,8102,3957,2206,2909,1751,1371,1
1663993,1292544,315067,78663,72248,132322,82378,129020,1136242,546718,73016,69683,34324,88270,82327,65010,0
839133,203800,268209,57176,55016,48734,51832,40056,382587,81966,20415,30422,14572,8738,9953,11510,1
998349,542967,71840,140096,35313,97199,49038,92489,191856,33090,14378,3615,5992,11372,14296,1989,0
2294070,269643,10570,36211,32713,164231,86897,25657,148318,18837,9732,1659,763,12530,9057,3510,0
1803354,119259,29127,6641,4641,15295,15283,6615,82632,32766,7153,2397,2554,7205,3258,1320,0
660862,273811,35545,25795,18162,42132,19977,21623,583564,106947,23739,22899,15142,20143,7427,11304,0
1615663,138840,12766,31127,16510,53232,44187,40576,521329,75422,7598,5489,1380,44128,7779,11202,1
1008209,190970,96305,8951,12634,22400,5248,14698,725731,56881,23862,4259,3639,5865,2333,4189,0
1114101,238477,148533,38711,25130,162752,42969,57012,543300,79642,22188,13762,20962,23686,16446,4974,1
1088618,392634,15988,12792,26068,140008,59207,28601,114095,117368,13134,4038,5992,6881,4756,2606,1
1593224,725591,61820,38148,44755,81080,75355,60932,703670,48467,7188,12056,6093,31285,10375,8549,0
783780,155582,33479,3794,12322,14129,5894,6941,131421,69654,1365,2647,2807,4001,4073,6928,1
875883,40779,1976,6759,17662,14282,20878,16452,393484,34385,1375,5836,10997,7100,13558,8337,0
489675,259655,49306,12699,12425,28867,50269,20557,428554,149763,32377,5684,11264,23071,23929,9550,1
2010144,135230,174813,108190,15888,58943,92361,23954,1694483,125912,31312,26756,12560,14049,33060,11239,1
1676518,158940,105719,93126,10629,83202,58034,65777,1298773,50577,32415,4995,7532,12327,8472,11549,1
9708,12194,8954,33716,53520,33560,18831,13945,5728,3893,6626,21378,8930,28121,11977,10626,1
2469685,220881,36485,35820,38562,18547,28540,11638,1076836,30085,17146,11922,19501,12239,19252,6608,1
614409,104097,10630,12482,3248,8027,2799,2841,50643,65363,7149,2012,1376,4710,1909,1572,0
1633334,280304,43331,50297,56650,104542,115855,42313,697753,249214,7740,30119,38014,64621,35090,30440,1
657750,224874,21028,26549,21290,62550,48037,19636,125229,102474,20521,6919,11031,29012,32023,17591,1
798615,72482,37131,6101,5045,20140,23842,13504,384105,47765,4720,3982,2835,7768,18173,7877,0
257630,45459,3852,1578,2332,3959,5895,3180,67492,15089,2657,668,1639,3588,2016,1520,0
1556926,267669,154490,84733,43958,84831,150618,89549,361162,95412,5322,13363,2493,22111,8902,9798,1
1187722,91000,46875,5029,9019,22447,23428,8953,1033321,52806,19407,4255,3937,11855,7723,6729,0
2855119,184055,42015,27033,19270,37954,66340,9635,119599,166561,17279,12594,14883,11442,7905,8850,0
1576177,259827,58567,45576,35160,44627,29160,31556,520166,88563,6203,12150,9704,23085,24939,9795,1
2317883,664392,103445,65312,40401,103274,57263,50341,531815,58220,7138,7459,5158,24280,7025,17779,1
615766,66883,12319,21443,26985,30375,16674,13860,389903,23514,2925,4081,8198,4909,13633,5203,0
570536,151284,9680,38269,11364,20489,17650,16254,441026,58480,8604,11988,11361,15433,12216,9788,0
1089810,700420,32712,13530,35160,80262,73947,38457,865501,34769,10423,4263,5207,5969,1739,1901,1
488959,120354,10814,7999,4278,11550,18835,18369,205109,13468,3599,2848,1218,4472,3234,2107,0
303027,48675,9039,14701,19326,22044,8027,4955,43090,22410,7404,12985,7863,5228,5626,3002,1
1002794,153630,17001,32549,24816,18895,11880,15723,316306,26522,9546,5705,1771,11539,8182,1998,0
334406,28994,20651,7273,5573,20726,8457,13581,298197,24281,4943,3357,2761,2127,1493,841,1
921777,582886,51524,19970,36791,96112,60427,44959,610004,43803,17075,16441,29966,12669,13674,7969,1
858571,74601,6850,6661,8644,17397,22917,8441,586423,15643,4463,1109,2995,10829,7131,2459,0
1186306,31845,4736,15229,8226,18874,21670,9904,162716,24945,4236,2300,2666,4747,3716,2628,0
1225580,158840,148297,16396,6726,48723,55419,14444,111573,54238,3933,4161,2348,5596,1992,2259,1
398942,155774,20604,7932,40520,39648,61643,16349,110606,100313,16303,3332,11603,24382,14479,9773,0
1266345,124447,28398,4104,26695,80210,48592,31292,1248294,87008,2358,3683,9924,21687,8385,6614,0
1627457,140970,26062,18240,12868,42060,25015,10983,244350,60630,24185,12097,8935,13985,14499,5865,0
402044,198754,4636,13727,13419,56457,31944,29506,180905,63913,3546,3429,10971,18389,29837,5783,0
1870505,169980,18856,24573,40216,85348,39078,27508,294393,11092,7973,17388,18977,41790,26237,8766,1
522160,21515,3741,18037,18516,34839,56224,19814,522160,21515,3741,18037,18516,34839,56224,19814,0
1713407,293672,312474,39001,45975,58703,40449,54911,924827,97724,42165,3758,31015,35294,38631,33302,1
1695007,124524,36917,47028,48290,31378,43835,35059,301152,47322,34474,41055,28527,22290,31580,34098,0
937294,110665,99107,72632,74578,64168,72674,59394,820897,76311,43735,35364,38949,23821,56372,22355,0
675027,237026,64762,96573,37314,66659,105868,45244,190810,202394,45315,27805,23801,39881,80256,22720,1
436933,65835,6254,12535,17033,24932,33536,7974,153876,62170,3498,8738,4732,7927,7096,7488,1
1550740,268563,101155,26690,29505,46291,28195,20618,992647,141244,61180,24002,9454,24207,14182,10845,1
237407,16752,2740,14582,14381,16804,36640,18103,5648,12925,1420,810,2640,7582,2949,3690,0
53892,115266,13099,5108,8736,20247,66758,18548,52032,20919,6741,1748,6525,8116,16041,5635,0
1545763,430844,29342,28345,47235,36755,44496,18438,902678,98653,21620,16348,31078,27341,19757,14499,1
