delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
-130190,5914,-673,3390,-351,3064,-1546,1057,-175164,-38888,-543,-2943,-2690,-372,-649,-345,1340134,94761,30239,18643,29136,8755,9125,7377,0
964397,226206,20058,66614,25449,25313,20411,6354,-129624,-13068,4303,-2923,-2686,4916,-342,497,-79653,-13155,-2770,-4800,-2401,-1228,-650,-349,1
-325935,-71196,-2337,-14723,-7035,-2037,-2660,-605,-609579,-87590,-6904,-11525,10365,10306,4785,3336,-581827,-102757,-7632,-16026,-8446,-5770,-3808,-3057,1
71916,91794,-10036,-1179,827,2526,319,601,-162485,-44788,-15243,-4176,-4089,-3367,-1311,-511,-129240,-20890,-3827,4444,-2549,483,-175,-387,0
-504148,137229,-89802,-16291,7046,-5840,-8196,3212,-673182,-27681,-89088,-17896,-20139,-2489,-3356,5644,-1392758,-169800,-97495,-38360,-33463,-22427,-9689,-1777,0
-226652,-40714,-10196,-7222,-6735,517,-1001,-456,-196115,-26167,1024,-950,18830,17419,16798,17913,88215,58332,15338,1111,249,-1130,149,527,0
127039,-95065,-8789,2051,8079,-2980,443,-3809,-221943,-150312,-3081,-4454,-2955,-7329,-4265,-2930,215440,-27934,-10437,-5968,6092,20026,10343,-1513,1
-249981,-87150,-28161,-729,-21498,-7905,-6112,-1411,309778,-65949,-25833,-626,-22576,-10244,-9021,-6141,-245441,-87113,-7540,9635,-15364,-7227,1432,-4271,0
856451,56975,29529,31291,53497,5358,2918,16728,336827,-75580,-13204,-14552,-2776,-4974,-4902,-1074,738510,242782,10701,-11894,41625,29462,26684,15900,1
-471815,-935441,-52091,-36330,-24356,-10827,-3619,-4906,-577501,-979838,-54164,-42258,-33859,-12606,-6522,-6768,-557008,-964915,-47774,-39577,-33617,-10764,-5468,-6375,0
180668,7430,-8922,2983,-7221,-4421,-4704,-3072,-467960,-120760,-21009,-14297,-9809,-6942,-6537,-2806,-432139,-59494,-11244,-7119,1318,-3660,-776,724,0
-187570,-35003,-1014,-7383,-4019,-4650,-1439,-802,-230285,-44106,9024,1576,7888,2020,3656,2178,-194665,-5287,12011,-7663,-4440,-1140,-613,-613,1
-43184,-6594,-5889,-12302,2487,-6465,-1971,-4276,577088,141835,10846,3455,13380,37733,45627,15259,-69672,-25406,-3257,-9472,12150,19989,18622,9213,1
949620,210817,10583,15713,24047,13346,11420,6413,-188366,6211,-1035,-3366,-3228,642,3116,-1284,-152874,95750,21698,225,16754,17937,14501,4481,1
-700051,-229762,40350,40922,96207,-2963,5055,-5482,1031086,-71730,-35388,117306,25649,11461,7944,3392,-691601,-248104,-50370,-16083,-6303,-15813,-7302,-9944,0
-103060,-25758,-28321,-1337,-3460,-5458,-6967,-6927,68065,-30786,-26408,17413,1180,-1506,-1703,5036,169266,98308,-7666,21994,3155,2638,2287,5437,0
-65109,-62828,-608,-9513,-4244,-3430,-583,-1677,175809,121071,8268,20603,-287,-1027,78,-155,-179036,-41822,313,-7858,-3168,1343,2614,-1003,1
4784,-43432,9346,-5510,-5150,-2715,-1088,-1708,150380,118148,19714,488,1084,17201,10307,2342,-12621,-15896,2598,-2804,-3631,-2021,-732,-1257,1
609042,-252691,-6006,-10763,-26475,-10584,-9764,-6415,225120,221212,40420,38570,-90,623,2335,-663,-48377,-267985,-53352,-34769,-35415,-14343,-10162,-4950,0
169722,-47903,-6085,-389,-4665,-2124,-1126,-1197,-17916,-49279,-3876,3125,-7009,457,620,-828,78501,6456,14558,3588,-433,13228,5490,2465,0
334798,24359,6567,-3749,-809,4659,-1608,1080,87738,-37199,-6059,-6750,-3428,-5593,-676,-850,37187,-36388,-8701,-5591,-2781,-6176,-1323,-734,0
-87432,-72054,-45749,382,-9801,-13995,-5555,-3528,1041408,6960,-36268,7873,-6258,-2988,2472,-1353,-142414,-71381,-37019,1510,-7812,-11746,-4753,-2544,0
-41057,-74364,21038,-22119,1115,-4307,-2194,-881,470731,-102302,-6315,-13697,-4764,8812,2229,-408,-466482,-214242,-7957,-35304,-12732,3314,6591,15166,0
-61955,-338807,2047,753,-11613,-17496,-4975,4231,-580311,-356356,-15001,-15949,-23072,-28132,-9077,-3856,-635194,-339338,3197,-15609,-20430,-5503,331,248,1
-159720,-193551,-19252,-10207,-29686,-23634,-5255,-5201,-252383,-131017,-19399,-11660,-11131,-18181,-3024,-2904,-444398,-226222,-19794,-13535,-27814,-23978,-3583,-3790,0
