delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
250019-5805-45715-303444-1155494-5849-7402-17572,116156-9228-52748-28106-526781-25697-15468-6986,28850-7275-22170-47986-7012-9038-4922-2972,16422-4055-12414-23853-34082-2458-3319-3830,42752-11025-8995-17553-43782-7630-1664-8148,32309-25919-7576-26964-52152-25878-5195-18360,17266-27568-3912-11119-23122-23095-1762-6730,22121-11185-6110-12115-17514-16702-1243-5606,94467-8269-65811-1943-82059-130703-237996-7106,2533-11704-33493-5025-10526-22617-31363-16536,2710-1136-4851-2450-3212-13634-1907-1983,411-5520-2803-974-3414-3441-11203-788,501-7199-3689-1095-1998-2740-948-10240,2208-23000-2448-4507-2236-2029-2763-10905,586-8044-1567-2028-2840-1644-2799-8782,378-6798-4257-2767-1556-2198-1751-3094,easy,yes
194086-253431-49904-353104-20672-76296-31824-38894,34381-50844-18926-51928-7173-35944-12168-18104,2085-7346-8708-7801-2931-15225-2661-380,2153-4258-14467-5074-1699-29694-6623-2680,6410-8035-3525-1913-2562-17015-3104-1320,1556-1984-7289-1760-1148-7466-2845-1711,2401-795-4245-380-360-2681-802-1540,1293-1720-2302-958-420-3369-263-1420,difficult,yes
2377-548528-1720545-8956-245340-114578-50472-137584,5081-122113-394555-20855-65315-33437-18093-17569,4871-46151-56960-12836-5530-5178-7929-10598,5752-30379-25586-7931-7480-1314-1449-3832,2633-22533-20727-14753-3830-730-4843-2231,8897-16536-15951-14900-2289-753-17693-2534,3071-6408-5122-3333-1650-166-2655-695,2934-3360-5861-8141-819-198-3220-685,easy,yes
42787-121198-149030-184324-245287-6023-26349-1619666,8077-11277-5736-70645-17190-3114-22365-14045,533-970-830-595-5204-2677-1290-1716,1298-2736-1350-9091-2112-1803-11194-31576,2014-4969-538-4514-1761-626-16311-14382,1567-3925-751-2523-1800-1583-5885-10447,928-2008-324-1057-886-720-6838-3949,971-1214-382-792-1216-662-2528-3082,easy,yes
95601-10305-324616-181396-306204-55452-79531-39300,51581-6676-19822-4051-22599-11920-12454-42577,1008-262-3112-1525-7230-3130-1245-9795,6427-2130-4598-623-3829-593-4504-1237,1797-2747-3309-941-2254-2730-1936-2130,2741-4647-2257-493-1237-2760-1908-2076,996-1314-1414-312-1064-1582-1026-1018,838-1265-1737-177-1101-1354-359-653,difficult,yes
90855-95010-10424-10424-181597-5302-271308-46427,27175-149444-16541-16541-20177-2803-13849-35169,2352-18821-1551-1551-1185-1219-2690-25990,1532-18028-2816-2816-1246-426-753-9845,3693-9210-1849-1849-1319-1455-2512-12461,2417-11741-4007-4007-995-1594-3667-8654,1803-6525-2628-2628-281-1082-1396-7014,1086-3799-872-872-253-722-1341-3352,easy,yes
583937-66926-25399-6010-107340-26808-214187-80352,171759-27975-2900-10520-7667-4425-33312-45858,19217-13760-1106-3851-558-910-4636-8748,21235-10058-454-2546-658-1173-1970-5322,16814-2341-3960-3672-2409-1129-720-1782,12384-9834-4874-21702-1083-4127-2904-3000,6178-7687-3853-8199-1567-2262-3034-2355,6123-6704-1893-6458-1827-1182-2811-1736,easy,yes
20267-108877-131048-90116-14198-3404-147653-18993,19362-22173-45017-9931-27129-1943-19590-7033,4746-11549-2489-9554-8185-443-1244-1826,4472-2206-10745-3028-3453-2865-892-705,2431-3937-1840-2191-12524-1393-1955-3646,2669-1796-3460-3635-5368-1410-818-1428,1511-570-1378-1763-8179-1024-295-2509,1511-564-543-785-4237-1316-251-701,difficult,no
4717-543764-109764-187571-186047-18251-92750-2527,5984-44134-11128-9269-4885-11014-10798-27349,3390-15268-3772-1196-1244-997-2535-1418,3522-10713-2771-355-2645-1559-1300-2840,1511-5106-3702-1967-2309-1488-708-4826,2817-3415-4227-2681-1268-4701-746-8417,633-3120-3697-775-238-671-91-3499,1041-2748-1134-474-538-1056-103-3559,easy,yes
25266-128558-359631-48765-133144-366018-9620-60251,13417-55395-22472-10001-101647-41377-9162-17964,5372-16190-1160-4715-3933-4360-528-9084,3215-2323-1905-1255-20563-1002-2860-4154,3135-3591-1745-3765-20730-3093-2315-4788,4542-2278-4610-3905-10355-3236-2583-2333,1127-1413-1261-3149-8489-2211-700-923,534-1861-1232-2339-5083-1682-714-689,easy,yes
