delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
43678-1564222-292723-2245688-199637-1196562-373900-2189679,24203-280901-27393-241623-46051-59904-358584-73903,6641-187650-4448-307262-13638-12229-31099-111985,9044-79923-10452-138912-13377-19836-12785-26737,3319-32190-4214-268431-10805-9172-10498-34630,2032-59316-5189-78381-10409-3752-15493-18973,482-36697-4934-73074-8907-10723-18077-3224,929-33106-5232-116244-12740-16647-8491-7013,923315-37630-157523-229974-579268-159108-618638-235971,338539-31737-46197-7053-17914-20377-284262-28532,69451-14042-12698-6148-14573-866-153274-4555,93530-253-6090-5272-8984-4185-30198-13243,25486-2488-7280-2760-10397-1041-5092-993,20057-2725-3300-1498-5164-1129-8640-2195,11327-2205-912-537-1735-1041-5011-540,19079-655-853-157-1025-1178-5330-580,easy,no
107102-339786-1789616-460866-84738-1341684-35955-745992,14373-273192-72367-33803-24377-176794-7080-107035,7775-14388-11104-7545-11944-59445-6785-5963,1751-1596-14151-4334-2628-44634-5125-14235,3459-4280-17756-4960-1188-24459-1015-3874,1130-3088-13289-2432-1150-15742-616-2943,1074-2218-2045-961-1100-6456-480-3239,287-800-1861-534-259-4787-188-493,easy,yes
244599-2064131-64649-327645-120746-389042-78810-479181,177760-32056-50190-12383-77353-38448-22615-870522,12253-53103-11616-4208-24708-5053-2291-216059,5120-5462-5167-3258-31582-882-3255-37323,6353-4852-4508-781-4611-2085-863-12780,5653-3953-3735-795-5365-1453-1499-9116,4884-1612-1877-355-2265-1066-2638-6809,471-766-542-240-1017-459-1265-7146,easy,no
506559-695924-497147-658248-661978-107545-15025-586904,92995-21229-97733-159471-158545-23323-46339-336754,17951-5891-4752-63582-33328-7762-5357-37639,8455-3268-38845-13534-3082-3716-2655-26998,4204-4886-12114-12186-6047-2614-732-12310,5928-3440-5470-9531-3646-1511-1388-15541,2301-612-2577-5542-2202-543-607-15003,1781-576-1442-2594-1443-314-254-4873,difficult,no
198997-222031-61736-756164-291105-173393-438220-1076669,247061-204838-71673-49517-62976-18904-77630-85632,59113-14886-7158-21634-29195-2022-19427-64139,31899-33573-1271-5416-16401-3906-8632-35776,23736-6098-554-9357-10671-844-14109-12973,8463-6168-1043-5773-2342-719-5725-7589,11847-3777-1474-6387-1712-699-4037-5423,5074-1119-360-2007-950-386-1260-2197,difficult,no
453198-1381218-1536446-544772-565059-1398413-197810-142268,32314-55854-112755-84166-167782-947984-36468-30647,24328-15266-28348-125107-28272-137179-7297-7088,3063-13879-66271-26301-22468-90196-4788-2099,7882-17946-36630-3981-19218-19316-1658-1822,8768-3998-9343-36716-4492-23515-1312-4052,2551-7956-7928-3779-6396-22468-1069-976,1278-1570-5323-2626-1612-10859-445-598,easy,no
983138-92173-76413-1261600-1502956-503539-539309-143466,327337-23363-53105-187411-96818-174134-264419-13342,63837-3083-1600-8523-12659-19799-8510-10567,30756-1577-6001-21428-7676-8381-11866-2892,16605-656-1233-11961-8314-4598-4566-894,11851-1791-2258-4595-5692-6738-6242-888,9504-658-1083-2909-2365-3062-2257-610,9841-300-701-1469-3023-722-1691-263,difficult,no
83085-565245-47574-280379-793811-73022-326020-512524,43757-67810-6169-137118-668923-54609-15432-101671,1589-3535-1270-35275-130099-3036-2675-4126,2279-22923-2447-19262-131850-8598-6012-3599,2405-10861-2251-8535-48864-2064-5759-5335,599-5553-296-10258-35982-1666-1322-4264,543-2459-277-2773-16250-1270-542-2502,300-2901-140-4055-9740-841-643-721,difficult,no
111249-323259-2017439-18191-713923-2176726-48534-1281061,34240-209843-716083-2538-95721-144647-33457-85190,4760-66441-266746-506-52993-91945-2274-39921,4520-9357-72877-1526-30797-49822-1862-5147,2791-10338-48646-683-6446-36454-1282-5785,1818-9871-33998-473-5948-26481-1563-3292,572-1476-12667-279-8166-25349-473-9439,562-1983-2772-109-1190-4233-803-2206,difficult,no
174065-1004985-786028-1221477-373788-696606-503527-730602,16716-46967-484771-650298-79525-91963-300250-72038,2715-11519-24931-104218-42726-33477-8657-16602,3430-15581-26379-57516-13677-15383-7621-19256,1857-16254-9761-14084-1317-4688-5895-19305,1269-9214-6232-29374-4070-6462-6654-16997,892-8377-2580-10888-2657-3675-5501-4626,278-1253-1663-4183-1602-1649-1016-2050,difficult,no
