delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
15376-23057-12754-69120-23540-44863-5542-2168175,15806-9365-13069-13130-9346-18906-21330-473461,11439-2578-4899-473-2651-6058-42874-10712,6565-3648-6253-1284-7635-19222-22955-143574,21233-7367-29667-3787-6798-8668-5656-65771,15197-16223-13340-3291-15216-11503-21143-108791,22879-13955-13479-1413-7790-16109-8091-71131,3442-5631-11198-1462-6820-7357-9748-26153,difficult,yes
219621-106248-143304-2531470-225393-29405-144248-52232,17827-82603-90087-210890-32318-6211-32357-77675,5971-26381-19396-45278-3597-5711-24353-1083,11369-3449-37168-31562-8002-5767-13002-4359,16151-4824-21832-26896-3055-3249-5892-2410,4172-4526-26817-21420-4352-2881-18973-2545,2634-4545-13248-16360-1895-3170-12235-1961,1861-3549-11482-26163-841-2126-4150-1505,easy,yes
2758-1066535-59736-235133-359994-103301-170681-65499,4243-335823-1941-181673-80941-10897-57519-66161,3495-96905-733-35941-6310-6230-38940-7980,3477-8464-1269-61690-7872-4042-8857-2651,6421-28118-1173-20466-31141-7490-37993-13163,10105-18593-967-17316-20486-5156-29409-6684,6844-8249-1065-20131-41486-6777-34932-5752,3093-6013-368-6616-27491-3702-23898-2589,easy,yes
80819-192209-502189-25157-83065-362596-149895-392609,80495-25967-240547-27091-10829-367986-5234-38717,1226-5456-10127-2818-5311-140746-2064-4936,16466-5395-25270-2640-10286-29876-391-46296,4117-12830-28381-3548-8179-41862-452-8907,4801-9516-42121-4335-5813-21341-1676-31177,7152-5407-41876-2689-1389-20146-1150-13493,5654-5668-26614-1343-2967-20317-561-11043,easy,no
326386-8285-1254676-265492-104583-224800-14891-61254,144701-9194-89219-70217-21962-45499-4898-33913,44359-1842-28755-15679-6357-9963-209-495,18829-1610-53933-7681-3954-7570-1605-2812,14217-1880-5295-5808-1848-4394-627-4708,12886-3251-33014-3780-3303-5871-1450-17204,12075-2595-21379-1887-1064-2581-436-8240,2349-584-14154-1618-1281-829-291-6599,easy,yes
103026-10635-4441-155565-91073-100737-151815-90080,41641-19484-10792-22185-45934-47666-5362-87468,9586-26296-6153-2562-1465-1959-1701-16108,3114-11212-5937-4540-10498-2360-694-1509,7658-2447-7054-2438-7043-9988-273-1696,2702-2925-12028-3549-3234-2455-517-4796,1031-2420-4377-2689-4334-1182-319-1921,745-492-3713-1432-615-1044-93-748,difficult,yes
31268-226497-58115-2287670-196045-351672-73662-1510585,58990-48171-89159-228442-35316-25430-10302-269600,3804-8476-16806-63409-5574-2171-13646-36362,3575-5526-16145-156029-6188-5668-12378-31942,1687-3991-22980-103353-13863-5926-16193-47196,4513-5639-15147-34552-2031-7786-38075-19145,3742-1860-8100-36774-2704-25753-25007-12981,1745-994-4018-52828-2645-8130-16692-7720,difficult,yes
11873-43959-240628-566252-90858-10131-219508-112647,21907-27657-19585-22064-38480-12538-70270-26949,320-977-621-9053-8275-4124-3077-2184,10006-438-2329-5783-4902-9268-8515-5818,2694-265-1477-3536-1192-4577-3340-1364,2500-1194-1412-2577-3842-24407-7700-3716,1137-478-1526-625-1126-6935-6884-1989,580-190-789-1215-1068-1686-1680-293,easy,yes
3789-19194-328888-88116-322939-198996-312893-123425,7513-27676-47300-54701-28863-17830-22063-42902,2582-432-9514-4618-7123-2870-1171-28410,4034-1460-3972-820-4960-1335-19877-7681,4770-1544-20748-3703-13217-6435-12523-4916,5692-811-17367-2667-4235-2383-26582-2800,1113-1967-21323-2830-2028-2139-9815-1431,1965-1176-12442-2268-4915-868-10283-1278,easy,no
14134-22936-29352-58723-22070-34980-73079-110301,4104-15465-39539-5382-29052-4694-53874-20830,7909-2983-4032-1160-40345-13629-6895-5703,4690-2799-21605-602-19430-5936-5644-3007,4341-1725-20786-503-7648-1807-17451-4524,4827-861-8806-907-6438-2841-4098-3849,3208-508-4533-218-2862-1623-4349-956,732-276-3134-125-2237-508-2610-486,easy,yes
148628-7008-33969-22754-34514-50267-3478-46487,22878-10440-36085-5298-18462-45768-4108-61099,2869-6270-16081-4780-1769-6178-2531-11253,1578-4755-2981-4990-2962-7720-1323-2978,1344-7115-13264-5549-1066-1544-627-3069,2720-9421-13919-5534-624-2736-3515-990,892-2592-2607-2407-259-769-526-906,1261-1127-2949-1835-170-745-664-823,easy,yes
37615-69644-101467-795-302746-1643-28074-316305,41352-8164-6526-2808-43845-6045-22877-121273,7528-9636-5738-365-13196-3031-5169-21893,449-3698-3314-1543-4046-9506-3831-15593,1982-5472-14266-883-8577-6739-1332-6149,2870-2772-3227-2851-2991-21096-2360-8400,786-970-875-1020-6221-3287-672-2976,435-506-311-1005-2523-10906-788-5221,easy,yes
359055-1192-629970-63662-60443-35675-80102-118466,84656-2380-163796-53672-32698-2967-53085-80848,25168-357-67933-1417-1018-653-11347-11235,11433-1336-17546-1322-1618-601-5427-4230,5649-4499-4066-2971-4854-829-2063-7852,11864-2891-5717-4495-2525-651-5926-3381,6339-2383-4794-1813-2265-193-809-697,2129-635-3007-399-618-215-412-856,easy,no
238333-264646-79363-47280-62591-85024-35926-208115,36659-59724-63297-44064-29030-34339-48129-48864,13375-9823-4117-16349-1616-10966-9398-3210,7911-4931-1172-5857-2191-639-4882-1616,4066-11561-1278-3089-1124-3096-1581-4434,4179-6088-3526-3062-1040-2400-4656-7718,800-4121-1239-839-840-781-1591-1368,745-2299-510-522-172-758-470-449,difficult,yes
