delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
2859-28486-1870-34969-188933-85916-250633-40648,793-13796-6567-45755-78795-7931-6224-26914,437-7173-1429-6532-10631-2921-4669-14804,1288-1259-6190-9355-11805-1183-2935-7924,1782-1037-3895-8723-10773-625-4240-2867,2900-4114-10763-9690-16897-499-3337-2599,1362-2685-6583-1794-14246-525-2817-1121,1956-1543-8846-1319-10616-217-1314-1316,easy,yes
346104-684993-1453-177356-5940-2057-512818-25383,60346-127347-3732-4955-778-7308-35429-12676,7249-20686-2596-740-1310-3093-4266-1813,5131-5411-5939-488-1200-1462-9041-7123,7032-11856-2756-2119-2488-16226-6107-3481,9328-10438-5415-1984-3777-34849-6080-1112,5195-6411-3102-1116-2302-14979-2749-814,2589-5642-1637-890-1635-14829-1077-214,difficult,no
23865-110400-14356-827781-3576-85241-307174-85801,10236-16520-10353-23456-2620-48357-7176-26939,6622-1256-5233-13374-1304-1131-2857-1646,3190-5751-5322-10560-5906-2358-5467-4050,2172-13657-6240-6285-18169-2584-2282-1063,5576-6890-2840-3711-7051-4163-5753-1285,1750-3288-2413-4336-6544-1836-1305-1117,1308-3723-4131-1757-4632-1957-2490-422,difficult,yes
68479-1261395-699046-82838-7157-6065-44521-126625,69045-154211-161399-15927-17892-10593-63133-17412,6911-92853-22279-3026-15565-5668-7306-2478,2018-39644-1141-4746-10442-7614-4112-1827,3166-57318-6121-2966-14017-12078-3157-2425,3088-25916-10590-2557-5932-14118-2716-1849,3789-8190-4319-1030-9566-7801-572-829,3208-14380-2747-849-2390-3503-634-309,easy,no
119965-500804-2964469-260668-38962-84434-109116-5583,45646-134442-287369-31173-25724-7473-12116-4228,17877-59813-30248-3928-19547-986-1895-4126,2802-104060-41942-7896-13345-1369-832-3871,4617-21915-27588-4321-11065-621-1242-2600,5217-26203-62371-3893-19748-1120-816-5010,2871-36296-19685-4351-9938-568-270-4791,1433-31876-5606-2016-4394-302-392-1545,easy,yes
554355-6323-323067-141588-17948-2706-190518-376137,44542-5036-21557-33293-2089-9090-25400-22761,43311-2335-4762-8848-1037-5011-1458-7542,4912-5021-1576-11671-1701-26777-1757-6416,13660-8133-1790-4851-2181-7119-1455-3917,5324-11412-2503-4604-7893-21995-2692-7691,1426-3004-1579-5586-4082-7164-2806-3422,1654-4076-780-1581-1602-9563-673-2390,difficult,no
7107-55016-21033-50189-5781-2850-18573-2467,3132-9146-14932-5435-2646-5690-6976-7814,2291-3792-1534-3846-179-4707-2351-1885,5324-5879-6300-2018-762-13872-2138-4010,2465-2266-16009-722-1468-5662-2226-6706,2590-602-12309-1478-3234-23142-5691-10337,4290-1638-8637-566-2710-5940-1119-7976,4098-631-7110-322-1319-15879-3056-7390,easy,yes
155252-33403-177550-170940-69343-4197-237019-675336,234492-9266-112933-15175-19367-2454-47622-98341,9013-9423-14215-15495-3187-3110-7392-24108,51876-7389-13702-6105-21801-6986-3921-7846,35586-4185-17994-3403-13417-8748-8578-20743,17075-4514-6438-2501-50444-11776-3477-21431,34488-3528-10371-1082-28971-10753-1158-11459,11535-1100-4472-1103-10678-5857-1221-6598,easy,no
114169-735237-43435-890344-210814-94814-1117617-137178,1961-42324-37865-99950-26320-35420-128453-38442,2862-3683-5336-22893-17432-6512-45867-1804,2724-22214-5485-27466-3662-5129-123912-2629,1926-6807-8238-19988-7620-5119-155797-1200,2293-6907-13060-28370-7447-3837-55339-3636,1963-10635-9909-21847-6956-2197-106145-1018,440-5240-3398-23383-5428-886-31832-1599,easy,yes
5351-56046-74892-161993-4782-2672-286666-17928,31108-20189-36988-4123-12920-6153-36717-16858,3687-4410-9698-3510-4519-9062-8949-6902,32276-22205-6150-3625-3073-5144-6887-5931,64573-40440-3855-6111-11234-8486-5066-10441,19012-25429-4509-7610-22188-12417-4034-9373,28851-20121-1749-1278-6586-3667-5341-3796,7663-7508-979-1748-7882-7956-1427-1507,difficult,no
