delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
161778-189453-500886-513079-231938-1359251-1743235-2965145,6133-63287-220900-84877-45013-200731-180922-221488,7052-10824-18687-36854-6465-27365-16383-48973,2550-20896-33123-30248-1548-29178-14123-29271,3224-2383-8842-16033-2134-49713-9962-4807,3552-9608-4968-10292-5695-63418-17463-23809,1265-7169-2648-2382-1021-23429-15869-8078,1178-3400-7285-1456-1261-6269-3535-8966,easy,yes
327829-106825-807915-874099-3749367-3749367-709385-318607,28497-71565-28400-21598-448639-448639-691862-68551,25713-5462-31270-11896-81395-81395-41696-19716,5875-2615-11191-8921-21642-21642-24960-28063,6996-1005-21949-17349-61088-61088-9688-15544,13015-1347-6305-14202-26962-26962-9814-16964,23364-1655-7410-1429-11471-11471-12065-13767,3862-1473-5952-2531-5108-5108-2158-7233,easy,no
178034-178034-1161667-663535-620678-1639230-1639230-341855,237658-237658-112644-3994-56086-143163-143163-54051,13022-13022-65315-10610-3471-36801-36801-6460,19879-19879-55003-3534-6786-81655-81655-6129,30250-30250-29189-1875-3721-12930-12930-2063,42576-42576-10386-3557-5288-14622-14622-3956,8101-8101-10578-4627-3318-18059-18059-1803,3000-3000-5581-1469-451-4585-4585-1134,difficult,no
99936-77540-2156536-320842-869834-1056194-2054910-2054910,113894-10412-242733-6893-72932-50752-120566-120566,25056-1725-59865-4897-26310-19973-86279-86279,4029-4412-112323-3312-7979-13911-12332-12332,25736-1864-32015-6619-17048-7136-12823-12823,31540-2632-17077-720-12019-9073-19601-19601,21529-8855-14988-2174-31701-14675-18875-18875,5972-2035-6301-1300-3419-10173-3045-3045,easy,no
250280-115494-89367-217790-1479918-723009-86091-97639,26320-28933-17175-22371-95164-175336-37335-22543,61925-17304-3429-7133-20024-30749-11245-2492,26010-8214-2382-3822-31035-5299-2458-1074,19296-15905-6243-2330-42818-20295-5704-1843,23564-3159-3652-2560-57762-16180-4088-2105,9516-4496-4906-3226-18750-13675-4339-9058,4206-2558-1249-3173-8975-4720-987-1749,easy,yes
953915-384332-837707-52445-226231-183913-91345-144072,129645-48990-118876-45763-239262-35144-12183-18838,5201-11281-8476-4224-125628-1087-3616-10232,15415-8800-10127-835-31739-8404-2512-5763,16195-1021-20958-6419-43492-6898-1123-3933,28253-11587-9493-7019-24558-13200-6357-1986,17232-6949-48369-6896-35241-20745-10166-4713,5827-16311-11095-2314-7775-6239-1645-1580,easy,no
839039-158886-668815-128443-128443-84775-232858-168413,286366-45276-68117-18910-18910-10027-48897-128768,55818-10724-4908-3443-3443-7064-9034-9152,32680-18382-6665-3558-3558-6007-10537-10936,33597-3957-18818-2932-2932-5711-2749-8351,13904-9380-19324-3847-3847-8160-17361-8928,20981-26503-25126-2637-2637-32825-14635-42627,8708-10448-3262-3182-3182-11261-4651-10116,easy,no
115976-131854-152090-115025-115025-99766-25081-267637,24106-110420-34663-12066-12066-19508-11905-73069,24903-15441-4446-1762-1762-207-8955-49587,4835-17723-11396-5348-5348-1032-3132-5768,15365-5898-7182-1654-1654-1149-6295-21143,20473-9502-6197-3727-3727-20733-1864-32058,15533-45790-17961-6221-6221-24912-4085-14842,11324-11153-6135-1507-1507-3738-1791-6112,difficult,no
33273-164280-481380-27805-207021-25238-329197-665093,22860-18694-103393-9302-25452-6526-15572-27061,18879-3608-17907-12474-58495-610-6511-6978,7128-8208-8923-17214-4666-1982-7337-1575,2029-2843-31893-24281-15856-5014-11419-3681,19602-1839-10746-27351-10853-2669-13121-13453,23576-4800-16982-26260-12112-9352-47726-11208,3527-2677-12737-11772-8911-919-3839-5045,easy,no
234004-149963-177541-1391645-354490-78578-459938-246490,26862-52088-18987-143221-78663-54414-99437-35407,3694-21414-17851-19799-9810-8166-21498-34669,3438-3232-15740-17234-15919-7852-9057-4372,8658-4703-14162-18009-8915-7664-5565-16843,3706-8041-6212-9621-17161-15674-16319-14201,6752-3326-7480-17672-45431-9131-17410-17497,1504-2024-1252-5309-11073-6578-5639-9145,easy,no
