delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
116455-486906-35339-206158-33181-115319-792817-916390,70121-179020-31019-62753-17058-35190-116971-110489,43615-13632-11137-27238-4756-2960-7871-3696,22888-9593-2591-15385-3541-1050-47173-8654,11889-6916-19021-12232-4540-6536-18257-9207,15036-8889-8052-12022-1627-2225-8556-5905,13332-6324-6438-9290-1607-1492-9353-2819,4459-1323-3561-2781-464-961-2836-4214,easy,yes
698537-740047-1136254-952719-637101-119183-105509-79564,185434-45039-489897-404661-570704-16292-25144-23012,15008-7851-102446-93267-159561-2390-13413-8975,15848-19750-38375-57706-20280-1923-14599-1713,13141-10878-30484-29124-23518-1831-22024-1997,8980-7370-31797-7191-26887-1479-6488-3222,17103-5491-17382-9068-16661-1602-5950-1804,11203-12662-13690-12081-31459-712-2993-1618,difficult,no
8522-119529-256431-135590-34236-5872-508935-92627,11759-120793-35604-235787-37443-28081-53503-12131,8909-44558-17931-41758-5650-5823-8540-1504,6089-11294-6619-25762-9745-9641-4331-3129,6954-11576-11215-11693-16683-2435-6215-1535,9803-10153-6065-10556-8571-2362-5776-595,6049-3348-3157-3870-3553-6659-4509-742,2620-5050-2985-2819-2232-2249-4606-414,easy,no
1997870-491788-104989-230794-184125-123716-89109-449411,75319-129478-17383-37457-37642-154044-45611-25825,59319-20096-8274-1706-8092-39838-16117-11561,41615-23744-2522-3621-5394-22466-8734-3404,30959-21159-7988-1091-1748-5108-7969-2134,21629-9765-13937-2088-1835-11596-1551-2899,10686-2707-3084-942-679-15219-3199-3261,8677-1416-4246-244-1098-3341-1260-7861,difficult,no
112404-2224469-65046-675625-1777340-214892-1528894-188574,81861-400129-49199-114138-508046-66333-38894-56655,17825-190477-11828-7889-43477-17494-8186-12155,12824-25722-3348-47178-31396-2344-4457-7616,6748-71343-526-17861-20928-3540-5353-7775,12469-23943-2296-12851-14115-1194-7433-8536,6487-23470-1595-8028-8730-2292-7445-7142,2763-16040-1251-15043-9894-1771-8797-5743,easy,yes
663430-1979-12792-8334-216122-218295-1388174-1722030,7441-12462-16986-3162-26337-34851-78315-126692,2572-5247-17970-4388-10369-2766-16076-23666,9868-4661-4801-11552-16777-1792-7763-4742,4362-7674-4742-4801-7439-1712-6463-2950,2151-7050-10905-7275-3098-2844-7030-9153,1188-2699-9628-6889-1446-2147-5493-5176,930-3211-2220-2609-907-770-4210-4236,difficult,no
37032-90731-340388-593890-1384081-301376-708609-665542,33000-9449-14175-66293-354131-85652-89653-90676,56794-586-9643-37360-22582-26619-6565-10648,16519-4910-5977-10455-6842-15283-3064-8246,15150-1585-1021-12056-14345-7382-6963-1974,9065-2781-1039-7246-5672-3763-4217-2105,9501-2242-1996-4153-9528-5967-2376-1566,2648-639-628-1711-4199-3619-1009-879,easy,no
354337-340074-64225-103994-128045-90616-328647-35451,18228-65188-25284-146543-37729-76670-41843-4306,6458-24719-24090-56807-2649-5061-6014-1152,3432-4428-11849-23134-1142-934-6057-525,3540-2014-19099-5857-6064-3200-3813-954,3440-2636-7950-8444-3440-1820-2626-661,2005-3114-10966-7346-1996-1129-2658-478,1531-843-2034-2930-728-1213-678-179,difficult,yes
650540-1184340-152558-839739-117382-1948451-301615-107878,306761-78071-7514-83943-42640-153296-172125-14071,40939-16321-29700-32215-2277-71430-1218-1332,25578-10806-10376-12926-13093-62192-10926-8757,49313-7865-14719-13786-2625-6052-8623-2094,15515-17578-16845-6178-1976-10996-5745-1232,14137-20277-5562-2897-2629-9879-13099-714,4496-5840-6078-1257-1102-3179-2898-319,easy,yes
156633-54986-69940-57026-258019-642299-675239-28403,54511-39497-40877-17669-269490-180027-87755-15700,41432-15662-6897-9836-11366-17615-18666-959,24477-13733-5042-10012-4168-12403-5360-784,1953-15180-3621-9938-8156-65873-9627-577,14603-7654-2025-2345-12846-11142-4946-257,7663-3404-937-1968-16881-5770-1452-434,3374-6813-1974-2262-6354-4010-1354-211,difficult,no
538449-186616-280204-894676-1337843-963478-447543-835266,149610-8395-85442-103458-53549-307525-97528-20413,28756-1658-15547-5618-7505-14113-72808-7711,37411-4032-12286-8133-1042-30999-100853-50320,13337-15719-21379-12934-5454-22981-12269-2579,34069-5551-44828-8067-9763-26003-26248-2601,14036-9126-20362-3732-3981-11775-20459-5026,22956-4221-23371-3509-1940-11889-7067-2050,easy,no
408483-229001-56397-3257536-139867-199235-592863-61747,144544-10927-26916-124944-14615-161004-142356-7200,26985-6844-5460-24286-4560-12296-25160-467,9924-16678-4364-20226-3608-1459-24022-1979,23844-5259-24269-6734-5427-9904-3634-1132,15265-4538-9592-17416-1633-3913-1077-2284,2754-2119-4611-12614-1641-6609-978-2073,1666-2799-8791-4672-534-3003-858-976,difficult,yes
17549-244446-1216020-234735-160420-129641-1334970-596566,14877-36256-243177-101709-17128-18555-107047-73256,1148-6532-69210-17494-935-6820-84092-13888,5917-8946-42975-21031-1674-4027-13550-4003,3009-27444-17413-2536-1209-4270-27404-1195,1586-14375-23353-7177-770-2279-13943-4193,1978-10164-10992-3274-597-3559-9726-1807,2455-7492-4456-2904-519-2565-4576-719,easy,yes
23247-36820-455743-309888-87110-239368-318065-506323,9075-8879-54336-56582-42347-82544-257659-10280,14263-2213-2786-14047-1734-27777-10589-14515,12412-4136-5476-5020-2019-29390-25168-2181,3100-1454-8743-2934-2734-25716-7197-2099,5499-1181-5612-1656-1514-11449-12246-1323,35314-1810-9607-4081-273-5171-3932-1474,6908-1254-1856-1069-497-3741-4420-436,difficult,yes
15123-182644-102372-149503-51949-24332-464961-64321,35900-53523-26277-13377-10100-42946-458608-6801,7170-7311-1251-1162-3138-2380-47362-330,9452-10204-588-3304-1631-12009-11838-3623,7448-2316-1410-1547-1790-8396-12934-2593,7375-1718-1564-3512-2495-9968-6412-1578,4791-1460-933-1490-2903-14862-11173-891,3592-1284-529-557-973-6794-7704-530,easy,yes
851136-24587-9498-236826-781538-70459-53640-333829,52550-76043-28833-15757-31373-88766-96886-16005,6169-11939-13093-5909-12150-21778-7273-7822,4553-10700-11171-1937-2886-18790-12857-1969,5492-9563-15967-1189-3321-14423-3029-988,2304-10758-7617-1034-2669-7902-2406-907,875-6969-11144-1023-1865-6962-5451-545,1813-1758-3154-255-925-7571-371-229,difficult,yes
146415-304344-89661-35271-273374-16189-165442-205038,24737-121787-51206-9662-55351-15759-21264-19325,12004-17436-42544-42005-14087-498-3938-7013,13300-17507-20234-8220-3179-28317-4073-3378,8092-3243-22152-9906-4895-11553-1570-1725,4837-11824-9205-9268-2908-6876-1673-2345,2141-5942-8351-7264-1157-6689-1687-1544,1220-5788-4895-3517-1210-1334-2405-733,easy,no
62906-118024-100949-428047-629517-160310-575550-105152,21627-21976-51927-116227-104681-69347-196387-62391,20455-1258-3256-5710-25888-16205-16661-13894,1732-3551-13716-7470-20087-15330-21705-4157,1895-1750-2585-6399-20744-7293-39089-1576,2248-3142-1401-4109-6114-5941-14259-3322,1614-331-1274-2439-8979-4277-2949-3253,777-163-1612-1123-3646-860-1968-815,difficult,yes
2358-99161-13930-74277-261216-192314-151238-9198,15639-14349-14966-62487-46101-82788-6614-15714,1651-3800-11719-1736-2241-7930-2101-7699,9051-7156-5126-3296-5458-11592-2935-3952,1933-4260-2988-2489-2454-14610-1656-1892,9644-4140-7048-2201-2111-3902-1567-5024,13181-2237-5370-1348-3186-2580-1081-2627,1565-651-2242-1388-4460-695-615-1722,easy,yes
16119-56818-30954-186262-676470-228398-249412-1446841,40690-21885-25458-23882-86553-31037-202677-104533,4836-16184-1872-7461-32843-8783-12763-11890,15007-24470-524-2445-26234-16644-11748-23623,5446-12337-1549-2581-16425-11349-3538-10194,7490-15139-3386-1255-20827-2991-8573-15660,6337-9635-1376-2262-7367-6428-8643-9796,10035-5883-548-974-6912-3170-9683-4955,difficult,yes
42143-13355-808706-1941527-685201-1764852-1205642-719407,70487-60530-142280-122751-43180-84312-49692-33881,12352-3542-35156-12211-17172-6538-12706-8341,16136-49407-73290-790-5440-10848-74431-8332,9952-10938-18464-19105-8734-82188-11126-4451,8073-13183-20385-32478-6837-46209-30347-5713,9797-7877-24705-34757-7443-13031-7663-2702,3677-5243-10105-12957-4975-12986-7493-1830,easy,yes
1980129-120368-197795-213116-341010-42413-191411-60741,211333-32187-6201-111157-8384-16939-88717-21985,127218-21978-2464-9796-11556-3607-5563-14414,28703-5174-2897-2697-6282-21712-5987-10565,19234-14162-4241-6380-414-598-4062-1793,23722-12411-1545-3248-1071-3066-2133-1845,22538-9307-1002-897-1736-1066-1153-1853,14843-9683-349-594-1165-429-699-575,difficult,no
1050281-219713-66041-1638511-1779754-922229-639605-420928,127759-115436-82441-67994-64091-719296-145107-129379,18997-32461-58438-83120-315-137242-51677-69284,7587-43224-16045-44376-23159-88222-15872-25518,9761-42518-16758-40851-81690-112351-17319-17921,9291-17912-5340-17916-54941-88255-28957-27134,11717-20922-11755-6616-21934-25686-3999-7826,18819-7692-7960-1751-6728-6177-1735-1169,easy,no
