delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
71839-1690494-9697-629685-7191-17910-199189-74284,11897-394133-31826-229849-1588-17455-16705-65529,2785-100836-6169-14120-5806-3986-2365-71984,2987-15846-5483-38171-1080-9844-2627-7190,2223-21747-6335-9178-1337-10129-2655-10584,2640-9447-9480-18159-3207-10888-3356-14162,1459-15699-1565-3601-1331-13835-2426-6554,1879-3177-2711-3969-650-5831-1140-3946,easy,no
767154-82815-2485572-94004-20895-24472-24472-737986,138662-24754-107441-14600-3578-33872-33872-29997,14155-5658-63361-8114-1836-15578-15578-61827,8199-3314-46789-2604-3346-4761-4761-32199,9680-6780-50835-1619-3214-2960-2960-5727,7571-6780-20976-706-7325-2400-2400-24110,3786-4601-26449-455-2819-2764-2764-10424,3487-697-10853-412-1428-1463-1463-6242,easy,yes
22303-733423-322965-13092-57152-419193-1892807-21016,36899-103928-376481-28774-45956-150974-183324-54722,2975-2866-29043-8211-17175-30226-46794-31897,3694-1228-51693-1718-10464-2396-34321-7313,3376-8214-13117-3142-3396-5076-11512-5390,3702-7292-11790-4838-2422-11534-10850-4096,854-2818-7498-1193-1828-7161-4832-1604,1582-2182-7164-1454-2479-4562-6357-968,easy,yes
89358-1211820-215887-375852-1182-96994-97710-32125,16458-10379-10107-85024-4674-85944-84697-5850,1556-8715-11919-6943-6540-12173-17603-1327,6893-31716-21214-4128-13310-4033-2129-3799,1888-28004-6013-8017-1768-7719-6309-3575,2877-13817-11708-3696-2548-3900-5100-2045,2140-4320-3306-1130-2038-1349-2080-1538,1516-3080-1473-650-1714-2008-1880-1131,easy,no
508639-355473-765852-809987-30786-290638-337636-138460,28243-161862-13252-69043-22844-75112-261063-112506,9458-30879-3025-6421-7467-11742-47439-24365,6921-15894-1258-15174-13847-2649-31392-6309,7592-14551-6343-6554-11770-7654-32229-8231,2817-4775-14739-4833-4506-4548-20853-14003,1463-3347-4501-2363-1837-1903-10167-7824,1437-5286-3294-1410-1767-1685-5916-4934,easy,no
142842-1523724-369501-206010-466973-308205-14107-99984,5720-95695-28787-38865-22148-417998-6239-55486,2227-13196-8403-17453-8986-26570-1419-1545,448-21477-5565-12716-3240-6189-488-3843,2230-12824-6883-6129-3258-4620-2158-2227,1365-5484-3125-4601-2494-16338-2446-3297,457-3990-3368-1665-898-4020-2620-1627,763-4978-2052-937-430-5708-782-1873,easy,yes
99186-31419-134396-80782-56924-195406-161973-325739,20645-31809-14511-28105-39771-36698-45583-15624,8077-1684-6013-6926-14919-1951-9671-4214,3439-5936-6775-3895-39561-608-1402-6759,6495-3786-2054-1495-19590-2230-3533-2763,7319-4436-2425-3595-18072-784-4720-10327,1977-2053-2427-1417-6988-567-2337-14184,1062-1875-1883-948-7238-294-4030-6379,easy,no
1152564-1387164-1376126-84040-132406-85814-177056-3835,53255-167354-48469-13244-11783-15621-41722-2877,3570-22222-25064-15668-4113-1942-2735-2323,7313-15925-52573-2165-4517-2114-3244-2189,5889-8688-10932-3744-1927-1318-3024-6596,2330-12477-5014-2797-2197-2109-5043-5708,1360-7800-3448-974-3355-2758-2153-1820,827-3957-2020-1578-2119-1667-2416-1632,difficult,no
493334-1358034-152994-63570-542263-200477-385375-734089,21694-186749-15915-13802-63806-285229-73133-25255,18518-15326-7060-8866-16697-18777-18577-22201,2183-19776-8092-5621-4026-11066-13344-8952,4310-14667-3149-7796-3164-16618-14234-13832,2116-27218-5170-5955-1052-19501-25450-16286,2193-17248-2159-1219-826-13459-7683-8519,1365-13317-2950-2418-927-5642-6108-7956,easy,no
547674-1942905-954728-299020-45889-89887-55860-96909,105127-208114-177064-66487-7331-102938-36254-37725,37135-58395-111024-18213-6371-12847-12322-8998,21177-47205-26159-7174-3297-3521-2533-4417,16157-66754-32749-14319-4626-3217-3316-7686,20976-25651-24925-3321-4931-4248-5109-3876,22901-27531-20093-1522-3185-3203-2443-3336,3063-13445-21495-1091-2598-2748-2209-2101,easy,yes
560978-2100030-409766-898083-212316-103101-894859-303345,85545-43104-45531-94909-34392-95693-41172-34376,26212-9987-21235-16634-4344-3726-1635-489,16817-41041-16595-7716-3524-10500-4571-4290,11101-7030-7045-5750-5660-13898-9638-3902,15132-25528-4484-4383-2964-3776-2137-1244,5048-8385-1117-2087-541-3884-2463-802,5754-4097-1357-2088-657-1777-3343-546,easy,yes
573945-15334-405725-360977-50716-14954-88528-50538,172759-3956-44812-98348-17779-25123-19521-31171,15925-2155-16714-13671-2512-2569-976-19217,13710-2280-15229-6261-7356-1730-1883-10372,25996-4673-6641-5040-1948-1581-1038-8003,13622-6939-22929-24950-4147-898-809-3311,18992-1843-9275-10117-1389-475-607-3214,6854-2296-5092-4846-1924-125-248-1906,difficult,no
765467-36713-73834-59675-17149-250125-115007-629876,264413-17688-49424-54474-7833-22462-40781-35432,3423-2571-5113-20540-1064-4051-44252-11199,23490-1761-5791-8509-1723-3596-5269-6441,28896-2236-4148-2320-3074-1498-13559-4312,41799-4102-4512-1590-3765-2122-5085-3617,21103-1006-3388-2454-2857-1060-2628-1288,9048-2438-1435-3795-673-326-866-1588,difficult,yes
153470-989065-23208-196176-82486-118242-1032537-174674,17924-138803-11910-28077-33240-33414-60807-32354,13318-10044-7593-3912-3887-29966-51713-12255,10534-30554-10444-1899-5692-1899-5807-4864,2467-45950-6370-3074-5073-2645-16306-3943,3729-26916-20856-1141-3118-11348-9758-5242,1545-13878-2600-1002-761-2987-3859-2205,1776-9719-1981-786-1917-739-1790-1770,easy,yes
59384-73373-1366775-1088413-58663-268988-72446-291458,10784-35402-65662-25948-10222-16260-101864-94562,3633-16355-17416-28813-15071-2093-17304-15741,2941-11473-14337-15198-4141-4695-10884-5724,2848-3529-10575-11682-5782-3371-11212-9384,8113-8011-7413-9657-2263-1328-6857-6121,2153-1328-5841-6478-2879-502-3191-1255,1162-1456-4151-2084-763-750-3122-884,easy,no
853060-887606-56249-174076-97314-89216-86423-741341,41639-115560-6186-7603-15387-5394-4606-251120,12736-9138-4202-2659-7381-1359-1343-2630,18111-5971-5266-939-3342-319-2578-17876,10902-6051-5640-861-2267-3757-2002-7411,6451-7639-4310-824-2121-2012-855-27335,3935-765-5722-551-279-408-608-4930,3469-2724-4556-235-416-1320-349-14512,easy,yes
829966-1396359-1800780-870846-497801-931200-333521-996303,272032-357916-56007-103114-69568-176751-162993-428035,164339-10983-19789-19988-26484-23747-6841-23896,17933-14293-40430-2255-5695-8490-21174-84589,31741-30771-20215-13177-10533-7606-4934-91699,19148-16540-21649-10821-6702-4924-36321-21937,21241-19770-26786-9973-5558-2597-13498-26914,14443-19621-10900-3540-2077-2181-8991-11080,easy,yes
139882-95493-96271-246111-314970-154549-705848-801454,57698-27583-15401-141233-122343-54392-42480-204506,360-5465-4793-27983-22350-17353-25026-10204,6168-5293-4004-3653-25505-3411-4762-18431,8361-3003-1801-11342-2701-6619-25551-8404,3614-6454-2244-6810-22770-6403-13542-8351,5225-2028-764-2526-7593-4198-13357-6757,3927-1678-692-2053-15946-2186-8333-3910,difficult,no
