delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
180870-3820-102877-6918-56377-470162-3861-5611,24648-7172-1649-14345-21975-162312-6046-19145,2674-3367-360-21795-15275-6783-435-7254,4858-29084-2108-49143-21914-9159-1100-13004,840-8224-1126-10640-12357-14416-3722-3415,2237-8872-606-20717-6930-14453-7954-6329,691-11244-470-8201-7813-15536-1686-6808,956-4120-416-5935-7880-6034-1659-7473,easy,yes
5177-6213-5247-114906-39685-26262-12770-4535,3740-4919-17794-19126-1866-62127-1548-14467,4506-12187-20325-4685-3441-13489-5257-4151,4078-6135-63133-45386-4875-5671-5352-19048,18784-16730-6248-4793-5733-2347-12960-9827,29850-24865-15244-14678-20995-5496-18762-22134,9675-6598-5042-6680-6511-1902-3831-7712,4671-4793-3209-5500-6979-1367-6066-5625,easy,yes
49789-264852-1996355-13095-28131-9768-40545-2438793,66173-24560-147564-7910-4584-1086-13995-392873,5004-1113-54758-2629-5707-1092-3037-38686,5457-3988-60365-7610-4192-1867-9071-75540,9111-3541-35211-27584-7376-2220-9454-44530,14222-7855-11335-9211-4725-2885-10836-24449,3653-695-8916-6240-1795-1018-6150-7352,3921-801-5009-13258-951-1122-4433-4999,easy,yes
59332-271928-59908-12559-20222-18826-46369-6555,43407-21237-41257-7611-11823-3425-31833-2160,5384-7506-6146-10423-12115-16908-25363-3880,20145-8149-10012-7120-5073-6524-19876-834,11501-4269-3603-8862-4803-14762-14959-3732,13547-5910-1787-13659-6093-8474-16057-6724,3462-1487-483-4009-4906-7721-4577-1504,1494-361-692-2878-4781-4666-5424-741,easy,yes
5807-1778-55361-575-45548-24488-18721-7833,8102-1787-6356-1087-26945-18539-9628-8616,2717-2127-3785-1653-9243-7890-3708-7071,4617-3875-2091-383-18270-19602-7419-6636,8144-1498-8567-1632-2434-8285-16943-7612,11686-1672-24342-2758-3692-27742-9517-13528,7611-3354-11365-2314-4821-6980-1279-2874,2986-829-4754-925-1166-4473-4686-2081,easy,yes
20146-1849-31149-1730-84593-17230-1324-1218587,7858-13469-4666-955-13160-13500-1210-84665,13132-2430-2685-1524-770-24063-4749-12320,16188-24392-5107-1406-14631-137768-3563-16171,10006-5979-5338-1055-3680-9875-1475-9356,9031-10602-20539-2822-2073-11201-1658-10172,15111-5735-29469-1745-7166-21945-2422-6477,4004-5217-5054-2137-1382-9780-1387-3655,difficult,no
27803-53818-26741-914686-2691-11092-55297-1236444,45195-12605-2839-253005-1929-14126-64711-235280,48381-1094-18658-14218-1760-1851-3604-13176,6820-673-8158-36236-2045-3712-7540-85949,4038-1353-3291-26497-2187-6132-5568-19487,13846-558-3337-11272-2304-10120-3760-11628,4807-159-3389-3833-1099-4843-1086-5262,2251-123-3786-4056-574-3124-557-7084,easy,no
206712-31753-17861-140241-21245-10086-3641-39003,352118-6388-11984-72265-22040-6535-4040-19292,24814-7428-12364-12248-3494-2729-360-3986,8574-12975-8993-6129-11880-4028-2135-7245,12951-1172-14182-3854-28244-5184-2801-3880,12004-3383-10942-2244-5531-9652-1964-2532,3812-802-3476-552-1550-5894-934-9793,2086-2178-2210-680-2308-3746-1013-1133,difficult,no
11416-4150-225311-102148-5572-30601-100372-9057,6509-7513-4429-53939-2406-22548-58923-11028,487-1994-1233-716-997-6259-44207-4567,4048-10587-1831-5105-5720-1858-10304-2016,4145-11163-598-4977-2672-1416-35200-6603,2742-12399-1868-3355-6985-2034-9487-3746,1075-4088-1598-984-3550-832-7457-1145,850-2561-651-1639-2307-738-3346-822,difficult,yes
27393-13192-108164-100660-3505-44558-132464-3049,12164-15759-23712-38356-10843-16912-36856-9312,13059-2347-9798-8854-8519-29852-368-8379,25696-1995-2688-7240-2608-9942-3907-15131,15139-152-1487-5746-27327-18783-2034-4137,14360-4271-2029-1498-7125-16310-1661-18548,3832-1148-2102-683-4233-13162-400-5771,2841-611-1989-926-2570-8957-309-5417,easy,yes
21542-860157-16308-60639-5209-27255-174036-93683,53402-281342-24554-36283-1869-20658-26527-33538,2455-32744-12345-2264-856-6619-801-1051,5149-14081-5361-4108-705-9568-1550-4992,1903-8837-6720-2629-3228-11659-1984-2743,2212-12932-8502-1824-2787-8291-928-3930,504-2438-4319-803-1013-5224-424-1398,1209-6184-3389-732-1161-4153-250-1420,difficult,no
4447-13225-68164-6424-31771-8254-195557-16812,10464-5838-20331-3739-123888-2752-29500-25697,8658-6965-1201-2531-7033-1105-6637-11569,2169-8474-2360-5963-16845-1389-6455-6991,8289-4044-1572-11468-29317-3309-2902-10546,22646-30551-1583-13264-10453-1885-5999-7156,6179-5940-1631-4845-4685-1135-884-6492,2731-2687-1123-2501-5488-2243-1345-4474,easy,yes
11495-67005-221423-72897-106425-171534-63101-83397,7004-73451-103316-42680-64034-12154-26447-41912,5736-2330-1759-1565-2421-3291-1368-3268,2399-1986-5089-6413-4998-4479-3442-4437,17190-4998-1064-2323-7442-3122-5265-3541,12909-2191-709-3549-5126-2051-2742-3793,3307-840-1121-1292-1082-788-1256-543,2941-548-659-772-921-831-792-985,easy,yes
8021-32576-133316-266749-38993-232509-23822-13810,7355-14635-46725-67329-2560-78000-29932-36244,2750-10580-7742-9437-1998-7200-9177-3003,11940-73841-1312-6058-3983-3445-10032-7337,11614-45697-3857-6598-3235-10443-3955-22920,18967-20568-1260-2821-5113-17713-17583-10728,4171-7585-615-1639-1530-3449-2848-3823,3058-4218-377-2156-898-4785-6547-6449,difficult,yes
1643-113670-35817-26886-9981-50994-133404-133461,1817-14445-51834-8147-7882-5053-52111-43955,5689-7576-4377-7393-287-4518-4396-10285,6601-1361-3688-10617-5171-1580-7518-3560,8459-2662-2846-8125-7280-4822-1972-3113,9100-1349-3016-12557-8753-1924-1757-1930,5307-1058-1191-6500-4814-1661-1198-1062,3570-709-1218-6117-3751-1374-462-766,easy,yes
9947-112096-57692-70011-792401-4806-46576-6220,10684-32941-21654-86308-140957-15004-13375-1654,3140-24036-3777-2431-5450-2478-376-1271,7019-7499-3831-1225-29315-10322-2494-747,17912-8548-1936-6999-11311-18191-1657-1175,9859-6780-3465-2772-10165-8060-2890-2216,3755-2815-986-1151-7285-8639-1198-3589,2636-4160-908-1266-6931-2291-1183-1777,difficult,no
351244-107877-8937-71461-15502-107273-31595-1469205,52933-73614-5504-43568-8649-77336-7778-183113,16329-2903-10712-19987-672-5586-5457-17074,1915-6986-5759-11212-935-4365-6738-12521,8101-5489-8242-6998-1217-36440-2092-13268,16515-2041-3246-4695-1588-8893-2371-40350,3172-532-871-5866-1390-3264-892-4658,4539-1307-1059-4737-1448-7854-705-6293,difficult,yes
7189-10385-157641-129565-1210363-11916-5187-363676,13085-43283-38219-52559-76554-25480-2505-17488,3880-12743-1858-1078-9114-5485-961-31580,2145-61523-811-1502-27115-1295-3159-7236,11697-12732-1428-1912-15799-7434-930-2085,8482-14140-1241-2360-11982-3353-1909-5347,2661-7695-633-2398-3886-834-609-1030,4906-3611-505-1055-1633-830-2106-1169,easy,no
49738-7684-42166-76051-8389-25879-5471-6552,14294-5546-31888-64497-9398-33039-6470-5435,2902-5215-5797-6602-8689-3204-1647-9880,4009-1020-1467-3921-21602-7913-9200-8488,5298-1324-1577-5164-25992-4663-4876-5166,2069-1264-2819-2318-10387-2609-6395-13360,450-754-853-633-3345-524-2325-5926,1935-723-843-567-2777-542-9209-3994,easy,yes
64889-18088-7178-126445-11242-148950-3136-32967,58831-18572-11798-5392-3954-91869-20904-29517,30274-9240-3350-581-2292-11046-4125-5708,20330-1174-13168-1187-3016-1478-3083-4280,11242-2798-6394-1173-1246-2027-6218-4391,18935-2729-11109-656-4113-2733-20046-4408,7317-1488-8333-416-1146-2383-5591-2009,9885-1125-3204-313-975-1092-4917-1178,easy,yes
116535-749386-128158-5218-5858-412503-146603-11733,149201-103590-77573-12393-6627-118664-29327-10009,13710-9696-2139-1219-4999-66323-1666-1361,3612-16303-2256-2010-6214-26617-2061-877,7776-9143-1846-2548-2761-25609-866-1665,4179-12771-3281-5011-4697-20407-878-3247,988-8144-1754-1471-2705-10025-497-2053,1191-13229-1287-845-622-8301-126-3282,easy,no
23758-14254-208902-279643-143928-158753-126344-223923,20780-5924-31694-67160-55382-5918-162566-106671,8327-1477-6247-13718-17911-2799-34746-5178,20261-2727-6326-3229-5578-780-33813-13205,16986-1480-7296-4485-10157-1967-8421-13298,7240-2958-3068-6891-3832-2373-6466-15783,2948-2656-5463-2117-741-830-8383-9602,8094-1165-1292-861-2907-1176-6042-6128,difficult,no
964523-43193-12944-68040-7374-13961-37979-14778,39432-43259-8650-39019-7560-16379-34828-6099,19259-3829-4237-5591-8536-6878-14256-8064,26099-2248-20515-2277-5002-33195-6372-7051,21549-3676-9109-4282-15810-9351-13854-21513,13006-5159-22842-4121-12093-9990-13861-9495,7470-1423-5191-1640-1691-3852-4397-2693,9731-1808-1728-1134-10699-2834-3649-3697,easy,yes
218323-3408-21445-384675-12554-9266-35578-11794,19986-2881-14665-26902-5601-8430-30356-9959,17549-2204-27161-1495-5748-20062-11504-6215,6658-2436-3010-4272-3724-3517-1430-2014,9623-1244-10952-1512-6818-4054-862-4744,1220-1271-6246-3342-12680-18023-3199-10357,1068-1648-3496-1752-5798-8152-1366-7007,1453-395-3144-793-2100-3474-730-3928,difficult,no
11122-8053-7659-147835-210507-7197-93402-6200,15833-6267-6000-28006-17167-1313-28605-5035,16832-8549-911-2150-5729-1702-10452-3622,19747-8094-14347-5980-1555-1065-7208-6819,13552-8093-7425-7525-4253-1720-3601-4170,12716-14016-12443-2278-4716-4010-2924-4160,3225-5260-4528-1124-4266-819-1538-2602,6259-6555-7187-2028-996-1131-588-2335,easy,yes
307570-45261-47756-78635-3452-62178-1631566-34086,22985-15592-8555-15824-10180-17703-113458-5558,1898-2628-3389-8751-7066-9979-24504-5785,3419-2998-14083-1902-12291-6839-6018-6960,1552-6492-10877-1068-6192-1756-19986-5388,1790-1534-14317-1964-10655-2740-8781-10852,982-942-3742-1543-8334-1252-9285-12396,883-766-7321-1140-3038-1369-4044-3028,easy,yes
1597-845017-4508-222942-5035-16070-303363-7782,16084-116370-5178-19646-13080-6423-11127-12375,2702-31528-1088-2212-17797-2857-2905-6726,19864-30681-1203-5400-9069-4502-5348-5056,6820-15715-2686-2853-20956-10962-1480-5957,8092-4587-5728-2126-7403-8643-2375-6624,2816-3587-782-1714-2713-3253-757-5129,3243-2466-1017-1354-3924-3882-853-1992,difficult,yes
