delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
218581,189830,29588,31897,12782,36886,36672,7915,-98062,-169447,5874,-871,-6126,-25527,-25468,-2326,-9516,-97530,-14747,-18121,-10385,-34114,-34086,-6081,easy
443319,53498,15431,9486,9241,16912,9241,7733,44854,70315,-8182,7316,592,-8608,-3325,-2122,354224,-8344,-10157,-5845,-4889,-11530,-3271,-5989,difficult
174206,76255,3257,11416,18149,11591,15600,9744,86673,-63890,-1969,182,-13415,-9335,-11976,-8423,401002,-49751,10827,-3391,-7076,-5273,-8253,-5564,easy
288903,134740,12633,12553,18116,13202,7777,9965,-287675,-129550,-11200,-11223,-16794,-11377,-6826,-9349,-277576,-96380,-5168,-8396,-14618,-5699,-1883,-4737,difficult
113373,30414,7243,5241,2425,2792,1985,1486,-61033,-11862,-2844,-1837,954,268,113,283,-93277,-26675,-3629,4641,58,4602,561,2892,easy
331463,28161,11812,8410,4593,4191,1093,1094,-91294,82687,16079,4845,23,1133,1978,1427,632732,20138,3773,915,-1885,108,-418,1403,difficult
27699,25064,9285,5049,6934,7739,4044,5053,25254,3751,-2147,481,-3358,-5250,-3122,-4046,-25967,-21493,-3774,1328,1499,-152,2736,-1690,easy
576456,95797,31271,8293,7649,12428,7730,4291,-568296,-61941,-24600,-3435,-6050,-8003,-3914,-3085,-359976,-38628,14848,3322,7708,-862,5067,-1217,difficult
354644,44968,17083,16743,16568,13469,7211,5812,-91321,130409,9916,81049,10955,14040,10977,6551,-239711,-26051,-4388,-14302,-13520,-9704,-6203,-4770,easy
436042,54044,11560,9511,7062,6489,5134,2930,-425973,-41909,-4950,3862,-1677,-2742,-2088,-1035,-414809,-35166,4105,-3290,-1470,-4836,-3388,-1799,difficult
184811,10538,8855,4132,8639,4203,4141,3255,-171440,1325,-6999,1888,-6474,-1312,-2259,-2647,-182224,-5522,-5527,-1974,-710,627,2697,2510,easy
58096,14994,6911,3843,2045,1785,715,865,1636917,1247383,57704,89347,113613,173373,103653,45705,911549,766472,108255,33734,34233,38397,7121,27281,difficult
125184,50580,8169,6834,5440,5514,2834,3142,-83559,-20559,-507,-3438,-4457,-2463,730,-2301,192859,-45030,2986,2142,1324,224,4085,-196,easy
86274,23697,4428,11533,3281,4695,3479,1170,-70428,-12502,-1456,-2558,-276,-1712,-1256,-115,-73030,-10899,5767,17865,-270,-1085,608,510,difficult
58727,37485,3763,6551,1829,3229,3275,1727,-10338,-33543,-3469,-5338,-1510,-2628,-3114,-1626,59955,70575,-1205,2145,6557,19232,-1236,3248,easy
37870,10506,15922,12231,5580,9956,7622,4670,454662,62288,82173,3814,12697,17216,26315,12896,437962,12813,-7076,-9956,39,-4466,-5318,-1370,difficult
486885,72654,14741,7983,3344,6233,9418,4570,-298845,134790,44604,10,1897,10109,675,902,-158891,-49176,-9661,-5421,-2433,-5271,-7614,-3788,easy
58600,32291,7661,9170,12842,3283,3133,3959,-15212,1560,4790,-7941,-12077,-1631,-1379,-2720,-44887,-27875,-2130,-6344,-11459,4122,70,-859,difficult
295879,40036,3930,8844,2720,4034,6942,3075,212633,-20170,29558,17599,2319,7444,1001,5598,-181781,-2257,-844,-7876,6999,3445,-3838,771,easy
50879,27440,5880,12461,5074,7298,8522,3561,-6319,2800,2398,-5957,1837,73,-2573,723,-47594,-21325,476,-3696,638,-2930,-1808,327,difficult
104020,25454,1183,8937,10322,3381,4451,7839,-55918,-19674,2392,-5909,-8828,-2376,-3755,-6815,728678,48412,80793,134217,90328,26150,53872,11411,easy
210758,43463,13618,11684,4803,4513,2739,2636,-183374,-34361,-2993,3508,10818,472,6015,4036,-110557,-25340,-10726,-9892,-392,-1153,-1068,-1869,difficult
96708,27468,6746,19243,7157,5900,4706,3692,115967,60406,6312,-10592,1052,-25,-919,-1838,450181,16469,2372,-4067,-54,2651,7045,3417,easy
172075,44530,7101,3045,9703,9568,7759,4173,-110921,-21932,1573,9508,-8571,-6403,-5569,-2578,-124473,-33092,-4919,-435,-7868,-6684,-5624,-2897,difficult
950371,136585,12490,54980,37446,27346,12007,6906,1810401,176519,20830,5045,1743,-9949,-2839,-2828,394837,38185,46588,33062,7109,1098,-3459,2891,easy
12520,7181,2752,5035,6068,8082,4833,4276,114655,74454,3272,181,-26,-4002,-2981,-1318,-5524,-3377,-1689,-2691,1392,9588,3933,196,difficult
341703,296311,37918,41995,28215,34077,17045,8953,-301038,-265749,-12284,-16255,-7856,-24074,5944,1323,68565,-292946,-31316,-39936,-24421,-32554,-15989,-6737,easy
37326,18170,3984,7707,7691,5610,4413,4546,33638,12411,499,-6178,-5864,-4963,-3943,-4367,-25390,-10203,1093,-5659,-1395,-2436,-1287,-348,difficult
36720,7695,2877,9146,5763,7368,4187,7191,-1310,26879,21857,-5463,-1917,-5595,-2989,-6126,189427,19330,62624,24671,19102,7284,-279,-1016,easy
106662,36957,4185,7552,5036,7229,8269,3773,2466,-15172,2172,-6768,-3846,-4182,-7468,-2493,40336,-13365,-2107,-6724,-4186,-6249,-7964,-3429,difficult
48054,32722,21533,3585,5655,6992,5872,4126,481368,67058,-10069,26790,-248,5062,1218,-1328,1155648,46176,-11285,2548,1825,6088,6520,6189,easy
44778,17054,4959,9865,8306,18046,9339,7065,56158,1701,17246,5791,3820,-12889,-6166,922,15505,3488,-3912,-7492,-7873,-17690,-8819,-6578,difficult
197264,26012,9171,10081,7797,7688,3924,3038,355133,109454,66906,-5873,2761,8807,10284,4776,-158875,-17429,-5113,-6491,-5807,-5316,-1439,-1053,easy
166621,17485,4552,10626,6889,8517,4815,4424,-75055,46878,12602,-7651,2059,-350,-2745,-2201,-147920,1007,4656,-5990,-2292,-4962,-3821,-3107,difficult
720815,90577,28124,18466,14703,31871,17690,11540,-708741,-69576,-22780,-17155,-13652,-31178,-17420,-11153,-650039,-64530,-22012,-14568,-12538,-30812,-17024,-11068,easy
188908,71994,11302,12677,18377,13727,3712,5408,17844,-48238,-6441,-8302,-14129,-10354,-1938,-4030,-2045,-60438,-9829,-10357,-15233,-12652,-3017,-5140,difficult
172521,69799,11738,11450,14693,19928,10582,9383,146296,-19159,30842,44724,15150,-5602,-1529,561,382567,33056,-2908,-8421,-4065,-15528,-4584,-5660,easy
297498,31512,15485,23662,10433,27362,22458,12807,334104,25668,5501,-9830,7052,-6063,-18712,-5652,-241371,20530,10159,-18623,-6118,-16389,-19669,-11134,difficult
502798,69626,17191,25888,13133,10159,3141,2518,-279538,-4597,-6949,36886,-1336,13465,14623,7560,-340595,-61162,-15141,-20383,-10112,-6155,2024,321,easy
132596,25591,3954,7914,6593,5764,5505,7130,-97445,8680,938,12263,27393,13400,3430,-2742,41072,19349,10624,-2744,-3481,-1545,-2661,-4970,difficult
645967,97053,32845,10158,20035,9421,7315,11427,-605696,-76997,-18360,-8604,-18510,-5100,-3320,-8015,-530794,-55182,-25611,3596,-9033,5118,9760,-8829,easy
71890,33981,3720,6369,1934,4369,1703,1927,-64476,-22855,416,-625,6944,2123,5960,647,13913,-29266,-2519,-2934,646,-2317,150,-66,difficult
154552,17049,2906,4812,3641,4039,2971,4763,-141395,-5090,4825,5583,-1869,-72,-1923,-2668,-143593,-4468,-810,5693,901,43,-1959,-2050,easy
441247,63490,17229,11854,4674,3926,6408,3413,-227373,-44107,2763,8127,-2393,4093,-3027,-356,-429166,-58096,-16431,-8407,4392,4256,-1089,-353,difficult
947288,264184,70109,65835,23787,37065,22411,14745,1188933,-5671,-38360,-59491,-18528,-28088,-18808,-9563,-492503,-222278,-69512,-65285,-17894,-34441,-21039,-13997,easy
331862,99695,17705,22481,9043,22859,13730,10021,-249586,-69816,-12528,-17597,-7028,-19210,-12463,-8824,-201168,-15832,-8673,-19143,-5893,-20755,-10880,-9251,difficult
90622,23988,5103,5489,2919,2226,972,1397,-66836,-12379,-2931,-2275,-1580,-623,-72,-844,408048,26484,-892,1724,5346,6166,2503,3613,easy
1790513,133247,32533,48521,44089,75844,87712,32149,-1703735,-112034,-3960,-39964,-13225,-54847,-64078,-23177,-1767762,-113055,-29221,-35995,-34102,-71113,-82985,-27675,difficult
440048,36467,10033,15142,7673,8500,9023,5865,120249,103624,-3982,-5637,-233,-231,-3557,-2789,1258886,163242,-28,22025,5480,8227,6867,1607,easy
41817,19774,8147,21124,6245,10829,12594,3155,416461,160842,4081,-8259,379,-4821,-4053,331,5444,7097,1349,-17531,-2806,-9350,-11162,-1530,difficult
48599,14625,7165,8574,3891,4451,2302,2683,-15668,13653,-3687,-5983,-2139,-2410,-344,-2167,8034,6320,-6075,-6351,-3643,-2426,-928,-1707,easy
234324,117159,4750,12609,9197,11448,12490,7715,-189442,-89173,6331,-10037,-7327,-9656,-11379,-6632,-200234,-108318,13,-9131,-8556,-8061,-11664,-6487,difficult
909293,191861,24537,45057,32616,20107,19726,12124,-679902,-126599,-22734,-4989,-25232,-7247,-12297,-4494,-904136,-182214,-19402,-12744,-26362,-9821,-15501,-8464,easy
64789,28017,2961,6436,2379,2389,2200,1247,344779,5672,3303,-2425,-487,2064,971,720,193870,101400,11276,-3957,3359,3082,210,-509,difficult
103997,65808,29539,9735,12050,10060,9156,4569,44415,14445,-13627,-4869,-7979,-2110,-3464,2921,126774,-27232,-28095,-2943,-2076,-6632,-2678,-649,easy
239387,23891,8665,4952,4543,7794,2970,2224,1221386,130800,19194,21472,3250,10537,5540,487,-147972,7768,-4904,-2865,-3405,-4629,-2185,-1585,difficult
88523,36653,7746,6777,2016,2066,1221,1378,-79875,-33299,-459,1381,5111,8786,3373,1244,-31835,-32722,-6777,-5897,-366,-49,-60,-363,easy
209927,65809,17468,20634,17161,9723,4461,4959,710346,183587,-8395,-9418,-4348,9454,2800,677,1637172,34517,9059,-2903,-3901,2890,820,-709,difficult
875267,106077,9183,25318,14845,9871,11132,3367,-850590,-66945,-2780,66,-9365,-7807,-9618,-1870,-854625,-99543,-1622,-17287,-11633,-6780,-9501,-2348,easy
828701,171612,31600,17148,7991,12193,10766,7592,-558564,-138517,-26306,-14928,-7341,-10974,-9359,-6299,-551137,-126053,-29863,-10552,1026,3939,93,-2553,difficult
49241,12655,7852,6571,7428,8565,3442,6241,5177,-1259,3762,-4440,-5534,-7060,-2351,-5481,26483,25982,-4590,-3531,-5975,-5989,-2306,-5641,easy
421814,173003,59208,20671,43854,40756,38176,13758,-390367,-157322,-53612,-17303,-40761,-37123,-35826,-12924,-409287,-151040,-56497,-13964,-36835,-33387,-32338,-5789,difficult
299733,29735,5748,3624,2661,2180,1612,1093,-212167,-2200,-1363,1298,-331,-227,-205,198,-213362,12888,6026,4896,5056,5956,2210,8192,easy
371877,105855,12899,9852,7222,9358,6691,4730,-92352,-79211,-8026,-3636,-4126,-6912,-5284,-3436,-366603,-97685,-6073,-3546,-5716,240,10646,-1557,difficult
460610,32744,23408,16948,14273,18635,11902,7553,-371752,-7221,-21715,-12095,-6989,-7245,-9228,-5962,869793,37806,9733,-197,-4488,-4815,-423,6624,easy
52125,21610,7104,6232,6094,3694,2004,2758,97927,30041,-6319,-3897,-4080,840,91,-1622,-45900,-8179,-4151,-4318,-4228,5659,2632,2590,difficult
60076,28801,5508,22283,2341,3301,1642,1755,36249,18061,68916,-11581,32430,5308,1766,94,12570,-17630,-122,-20882,-1123,-2353,-1235,-1526,easy
132462,41560,8490,6414,4944,5167,3243,3224,182268,-28318,-3635,1587,-187,9683,2450,2444,-122076,-38309,-7953,-4214,-3818,-2137,-1938,-1636,difficult
166822,21706,7050,19005,3529,10237,12691,6097,-158538,-13593,4336,-11965,1744,-4743,-8243,-2068,-161336,-18783,-1487,-7488,-971,-2149,-6076,-3126,easy
454474,21799,11985,10667,11344,8763,10151,3973,-301266,-2471,-6797,314,-2137,4027,-3571,394,-426105,-3008,-10317,1388,-6922,-4469,-6543,1346,difficult
