delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
448905,60492,9644,16955,15697,7814,5791,3732,16815,13344,-1423,3968,8927,11188,1420,275,-261091,-31294,-3066,-11471,-11924,-5963,-4317,-2388,easy
633213,42608,19787,5318,6232,5381,9551,5297,-595764,-21995,-13456,-460,268,-321,-5163,-1955,-614500,-26003,-16419,-4885,-5420,-4487,-8548,-4372,difficult
940611,36566,4071,10839,8781,9912,7860,6522,954075,26847,99678,10136,1969,17475,1595,-2345,-738815,6627,6256,-5149,-3060,108,-5041,-3905,easy
343860,49435,20138,12151,8100,12512,8896,4703,-304572,-24514,4736,6490,-1780,-2761,-4402,-1981,282573,-27836,-9404,-6173,-3111,-7614,-7541,-4285,difficult
645659,75581,16284,9400,22450,14872,13597,11775,-595717,25698,38809,1579,-6835,3921,-5740,-2701,-489470,25553,10297,-1874,-16575,-10139,-11286,-9669,easy
790927,167656,14946,27796,35083,21738,10281,8336,-660182,-81684,33790,-2044,-28401,-6348,102,-1077,-705497,-126588,-11172,-20387,-30411,-13823,-7999,-6494,difficult
694763,180498,47325,20716,15582,17479,10458,6160,-642544,-168162,-42710,-16247,-12468,-15135,-7806,-3254,82540,-96271,-34312,-19599,-13553,-15738,-8012,-4594,easy
76062,42337,2865,2779,4895,3624,2320,1356,-60057,-35115,2269,5314,-713,-796,4965,284,185307,-30814,-157,-52,-500,573,801,-406,difficult
430214,72394,29055,16734,21595,13605,15692,7976,-348301,-13377,-22632,15083,-14335,-5831,694,-1695,-399492,-16666,-25026,36398,-17410,-1544,-3921,-4912,easy
529886,88419,59816,25291,21770,13010,6560,5084,-368605,-41567,-50080,-16210,-4712,-2337,-4851,-2202,-526851,-75613,-43389,-19857,-7849,-7402,-3883,-3303,difficult
601390,176554,73099,42980,19652,10582,10639,6009,-484129,-165910,-68239,-41323,-15498,-7540,-9162,-5168,-555464,-109224,-48167,-24612,-3287,1372,-3744,-1089,easy
442924,155640,33166,17671,10927,6978,5286,2746,112205,352281,14532,6190,-3296,1796,5564,6394,566651,17827,-11426,-11281,-3708,13776,2882,1645,difficult
388030,89739,23068,15305,15976,7800,12690,9013,82707,215297,64543,-4214,-6820,6012,6647,-74,-150936,-61475,-21925,-11826,-12807,-4627,-10703,-7989,easy
242917,87610,10043,9826,12534,7763,5932,4599,-219231,-39219,5590,-2107,61,3718,2325,313,-198665,-68897,-4926,-7033,-9035,-3071,-4420,-2453,difficult
823781,63529,10062,8689,13313,8259,9857,4867,-748116,36828,7645,-6289,-8229,2424,-1197,-1863,-803345,-56690,-2668,3325,-4443,-1341,-7301,12221,easy
286020,48708,17233,17304,13336,8062,4405,6615,-278979,-40650,-7274,1102,-8619,9078,-306,-251,-183322,-24763,30729,17757,-11616,3442,976,-2881,difficult
203834,35615,6690,19045,6138,10081,4281,5155,-192171,-25984,-5721,-15907,-901,-2364,7584,-2692,-124679,-20643,24449,-8307,-1411,-941,4545,-2406,easy
140355,20385,5410,13287,10694,9694,5954,4069,-50701,-10041,349,-8559,-5187,-6750,-3901,-3411,-129654,-11852,11128,4237,7938,-3871,-1154,546,difficult
395381,209307,17235,14064,31978,10587,8500,3537,1060130,-44952,20637,17010,36106,4268,3594,2525,201044,-25434,28929,86348,8086,6330,6296,15922,easy
436637,61209,20818,9581,18505,18084,16648,5666,-357050,-44547,30629,19936,-3976,-9900,-9428,-2429,-282145,-31270,-1506,11871,-7196,-8562,-10879,-213,difficult
949660,202899,41211,37421,19558,19727,18791,10931,-239996,-77233,-16100,-773,2821,-9463,-5235,3924,-831566,-94059,-25162,-35249,-10368,-11546,-15481,-7944,easy
431719,72309,6591,8524,5533,2499,2923,1425,-426823,-55038,-632,5276,-342,2377,2417,3260,-383251,-60839,34361,16637,5361,10503,1242,1582,difficult
1249173,194882,60241,47459,16447,11206,7410,5929,306768,301335,-39374,12454,43190,15844,10456,5654,-460530,-135285,8298,-31759,-6924,-5819,-3288,-4213,easy
79456,38952,10976,2992,4265,4619,3405,1368,180251,-8403,-7607,17145,21692,3021,3258,4511,-43299,-31481,-9016,-1875,-1335,277,-1615,-391,difficult
603642,85565,28023,14169,21561,10665,14171,2001,557849,44620,65870,69118,65272,2426,9947,4773,-231531,205694,102751,44883,30782,48374,-5854,7066,easy
662004,95322,40822,41483,49265,19999,12673,11143,416534,-62462,-33955,-33614,-41514,-15928,-10904,-9453,-287037,709,-30957,-10063,-32167,-12406,5540,-6300,difficult
780749,188933,44033,40998,7099,15535,21869,19254,-721894,-110094,-39678,-31723,-5332,-11112,-15852,-14184,-772468,-183587,-42706,-34311,-5596,-11522,-19908,-18130,easy
602113,72106,16343,6167,7731,9181,4182,2227,-278019,-38119,5232,-3764,-4879,-6653,170,216,-131678,961,5020,2365,-2383,8997,3685,2254,difficult
366903,97534,14982,19871,7534,10132,7662,6848,297069,430262,18748,22260,7425,5846,-857,523,-56398,-36540,2166,-9747,-2269,-5616,-4821,-4550,easy
275409,40497,14451,4059,6763,3027,1734,1772,-265264,-18676,4734,24326,-2577,4200,608,1983,-267829,-21501,15925,1658,-3723,7101,2851,940,difficult
771475,407265,67235,40646,20090,14888,4993,2846,502403,281642,-47332,115749,38773,21579,15160,6073,-225227,-278615,-14759,-23040,-13957,-4209,-2453,-1136,easy
812618,114289,28107,23581,19051,17168,24906,20385,-557090,-87764,-18315,-19467,-8770,-9308,-21285,-15535,-660409,-72018,-15463,-22697,-15849,-15088,-23067,-17134,difficult
1257297,165900,39432,20342,28797,24384,8426,10070,-1125296,-154335,-36668,-14120,-8583,-18764,-6650,-8627,-1225143,-155861,17244,-7314,-20019,-2769,5777,-2569,easy
842223,35092,33019,32487,6954,10039,7827,7907,-654506,-8727,-16057,-21565,-2503,-7211,-3502,-6216,-824539,-26069,-29578,-32093,-4041,-8676,-5695,-6287,difficult
1014411,147015,17298,31758,16235,12006,6265,13776,-965379,-132103,-13597,-28291,-10626,-10686,-5017,-13340,147021,-87216,-10736,-19379,-8293,-7670,-1470,-11524,easy
160593,29906,11077,10956,5383,4295,4156,2901,173377,117452,-8288,13696,-193,20428,4541,4783,45676,-20414,-3068,2007,9045,10968,3374,2822,difficult
45148,52399,8812,5018,3462,3939,2320,2324,1240022,26182,46861,55231,28267,11047,7041,3820,193071,138042,41657,6452,4209,9702,2255,496,easy
56694,29633,13270,9039,3885,7352,4451,3352,-46842,-7464,-5777,785,1851,-307,44,1080,-47456,-14245,-10674,-1185,2053,3777,-1021,-2348,difficult
470048,119137,19019,22318,15822,16477,9777,8845,157841,-107952,11999,-13880,-9399,-11374,-5865,-4148,-465199,-85987,-5271,-1609,-7156,12215,66,1121,easy
880268,90763,30899,33243,19023,21210,7003,6824,-222290,-188,-25267,-22961,31404,4186,12831,2915,1189371,485273,609,4081,22705,-5125,7801,10414,difficult
74094,29650,7634,4601,5402,6835,4258,3275,63490,-12638,-6197,-3646,-3805,-5865,-3830,-2780,49983,-10665,-4330,-4292,150,-5746,-3238,-2696,easy
936262,65452,9596,8990,13065,6047,11194,5411,-773875,-57457,-3830,-6359,-10674,-2910,-8644,1217,-529318,-26880,1915,-5246,-7305,-3199,-5108,-3443,difficult
227758,49426,16864,17366,7800,9826,4839,3789,-195000,-39191,-15071,-17108,-5704,-6825,-4362,-1125,887020,367992,-9033,-3238,13537,6491,3746,11112,easy
102678,82565,18149,15453,16033,9182,3491,3094,-45498,-62723,-17162,-10831,-14525,-8112,-1982,-1737,-73981,-59110,-13213,-13043,-14383,-7843,-2137,-2214,difficult
