delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
2559213-134567-161018-188520-976611-193244-1287969-1135922,325042-45190-4695-73635-123289-99094-322700-687929,35003-4459-3086-7808-20444-25891-248511-123288,119576-5563-6924-8478-60061-41907-310457-79716,128695-3093-8380-2832-21624-12285-16893-54833,34603-1906-16201-8453-18835-13282-65477-117330,65964-6316-639-6764-8891-19289-51751-31202,7627-870-277-941-3227-4772-12335-9239,63797-1888317-1358723-817417-1769368-246824-36665-896961,11283-176752-43788-100864-240113-56448-11224-19111,1256-110672-8411-31743-146261-1904-18619-41680,10816-179306-12578-8694-145218-13175-10657-38168,3107-107239-28060-27090-87264-9842-3792-13499,8721-78102-23072-17758-50095-2596-2077-10976,1690-109972-4155-5060-37920-4310-2253-7145,504-6001-1458-4068-23643-820-256-2551,easy,yes
134313-784401-1332336-677883-619161-750849-366432-14286,159474-31927-279787-68275-278385-356837-190161-6383,56376-7596-54780-5050-147494-207320-15726-8276,21572-10871-17154-10546-79856-178366-39549-1752,11496-18923-12674-11972-38834-32633-7291-2255,11951-13518-13229-6440-66411-24694-6871-3421,15368-20810-13031-7910-50696-26595-11111-1341,4020-2797-6910-1440-11287-27623-2446-977,easy,yes
1654653-259381-1094970-755180-554423-995366-418658-437839,44227-108616-82938-60951-102583-56821-519417-184718,22282-39135-67300-18509-54493-21300-83522-4619,128827-23124-15609-20949-1795-5274-44709-8656,64182-9090-12978-8762-7090-4137-60586-7252,33056-10042-7338-7420-8218-8162-20889-4985,26678-9444-4461-7813-4342-4666-29483-6267,5970-1494-1458-987-1371-964-2923-1930,easy,yes
364994-982492-2176872-1314057-907085-1209860-1564423-1580515,20595-329655-1171033-614614-67031-156684-550248-221877,49371-36629-351244-112887-9297-32885-868225-42935,6032-175063-269116-38403-17706-37622-78369-134629,23279-107545-134823-51200-19063-46006-178068-29938,9254-25073-143662-23589-7085-41989-140561-24260,3683-13176-31765-14808-2695-4561-30309-13419,1299-6730-19684-4240-1031-3855-19778-6249,easy,yes
860538-1039656-1071913-631152-1305565-1211184-1674700-129448,23733-218510-95736-235945-855423-146748-232296-61119,7255-118380-14683-105251-391447-52597-103434-12870,10621-32976-126940-71970-449839-81295-9332-13788,6598-25731-15012-29669-71300-10049-9748-7250,3616-14607-25408-21383-170046-10203-20637-5580,2557-8706-9288-8527-22243-11366-8844-1679,932-3294-5926-2811-14389-3090-4664-727,difficult,no
2178384-907741-1552008-248474-1364915-152037-1210052-1481655,66730-69057-750611-27762-190914-129167-79950-164723,106468-13391-174124-2002-98956-35389-130007-57845,43089-21207-294898-3559-80020-121901-51669-30332,31961-2590-155008-7772-15508-23782-19031-10456,24180-9756-71376-8141-8425-12355-17488-28165,5424-3824-22926-2176-16312-7637-5174-6155,5150-2033-15478-569-3514-3599-3499-1939,easy,yes
403597-1147699-724627-654052-1417822-635134-1419150-565176,66224-35620-190460-132476-245822-44712-105250-103474,5944-5185-9246-61266-109283-45145-34922-28405,8267-22773-27549-67385-40014-11916-44402-6343,5375-4118-9718-20585-38675-6532-14972-6919,6180-2988-12036-33532-7921-2912-18200-4082,2608-1248-4955-3796-18156-3202-5541-944,1162-1910-3490-4703-2133-1168-1694-746,difficult,yes
594956-211789-1230992-1876696-1012263-699051-1783926-833161,183213-19452-156634-236197-377784-172807-1399772-179312,24946-23021-28738-47157-63046-30540-92077-35152,46104-8149-4051-18180-40077-24227-125292-52282,22379-17416-13585-18164-28785-17819-58375-15646,6029-6694-15538-13368-21767-4833-82653-15802,7955-7030-6219-19541-6881-12585-34306-14051,3513-961-3320-2296-3615-4037-22211-1791,difficult,no
1453710-1687734-2459912-1619885-1186716-160008-1590937-1629350,181201-305224-162823-95587-188743-48013-52043-1591373,65323-111868-41042-82320-79091-19695-16508-505437,81944-47435-28661-24488-46246-6283-40063-269167,66436-22846-39660-30072-25322-9605-12027-78457,14012-13109-18070-13865-20819-3240-11069-48626,14712-4548-8462-8538-4971-4123-13037-40978,3091-3077-10078-2721-3111-1055-1947-11292,difficult,yes
1199370-1460814-1944694-1424223-804947-1222781-657824-1359362,104414-273622-300702-137914-204352-138202-63894-143345,30566-169321-10769-24616-98915-14991-15319-97427,17846-273298-60981-25578-94253-82655-28873-24929,3290-104227-19067-76693-39382-32993-6903-22222,8187-76007-45268-19099-21574-26397-7624-19790,3646-16176-16213-11491-14355-6364-3141-8673,3766-7015-9510-2993-4453-4821-634-3316,easy,no
539624-174905-403959-633394-926072-1795168-1210279-869629,414875-9197-29432-2709-219920-193176-397844-14110,25417-10583-16115-6206-62852-100659-2509-4872,30466-3267-2762-5037-17150-9414-40758-13683,31736-1887-1672-928-5126-17183-5184-5278,22237-1729-1612-868-9295-13290-6696-3210,5807-510-578-198-5261-3273-9059-2243,6216-373-385-198-2262-3609-2636-874,easy,yes
126259-1399358-1265943-1330456-1115569-926743-1482944-1050060,80137-81482-70664-184876-161752-139801-119809-36140,16384-87244-7635-40842-125973-112029-52725-8161,1780-50466-26347-45125-10739-33993-29630-4096,1711-11328-11235-13887-9578-13717-15143-2518,9550-28851-7528-20476-7932-19353-12441-6492,1329-7105-2544-4536-19346-8568-3076-1516,1113-5694-2142-7043-911-2436-2471-1308,difficult,no
285305-1573014-762005-1983702-1068847-202025-129438-1930389,261458-47614-54995-13590-97359-31339-28593-1192579,16656-41316-11637-3510-9512-6875-12239-76273,48338-46923-6085-9709-26348-8384-3859-86134,10004-32109-7723-5655-21495-1389-711-25550,8483-10779-2683-2117-6398-3238-1101-45344,7174-4939-2291-2133-5959-1662-5289-56793,4347-2411-1010-1080-2560-1219-497-3884,difficult,no
53593-2156758-1994213-125315-508714-1528820-2159989-1033156,44053-928040-174701-2370-105062-136548-417490-183388,16740-8264-22442-372-75911-58853-204296-51148,741-64205-48202-1899-15316-67467-75184-33829,1761-34885-14535-1853-14433-27057-50841-7706,1851-37702-21661-1211-16042-15123-51894-8259,956-11529-8336-420-3288-15269-29420-7198,882-15984-3235-239-1030-1133-9465-3616,difficult,no
20805-2990963-724567-44345-237243-1863446-1450016-1082844,56281-79063-316377-33744-27286-597240-177471-71262,9388-4656-11787-8370-4002-138401-41404-24346,5522-22629-22066-4522-7440-64664-10515-16051,1536-14899-4198-2796-1740-18917-18197-6738,800-13729-13835-2463-2514-38035-14666-8387,905-5582-4969-1864-3423-31506-10714-3919,1480-4988-2909-534-672-5229-1574-2540,easy,yes
1428193-1589230-1907452-1178950-1488932-100579-1547253-2547606,55632-129208-67359-122464-117902-50217-127850-84252,17547-34144-28266-79194-39885-10155-22983-11770,62788-38195-4231-30699-21193-4232-86342-32458,26295-14238-10007-13366-8365-2550-7732-8282,9543-10715-3945-5873-10185-2206-9716-11993,8486-5513-3347-4483-3350-481-2996-2167,3798-2100-4843-3413-1291-658-2634-3544,difficult,yes
59318-891142-555335-546460-1705242-1143507-2930208-1925970,73669-40517-40829-86676-1433048-138866-87807-117078,21168-17131-29297-22428-99280-78544-92648-23023,4859-65948-12622-10581-422642-28643-30176-88911,1284-10510-2358-2350-173122-18462-48537-14460,1332-9204-3073-4694-95672-12268-15077-38386,1459-6158-2330-2001-21083-7572-9893-11832,421-1595-423-947-15408-2912-3603-3709,difficult,yes
1647822-647787-498509-358857-1504268-999192-1775062-613506,1199862-44034-18337-108165-220857-80529-908958-319411,123231-40131-16318-21995-9017-25470-115570-46063,124798-4100-8068-86334-33046-5640-82694-19426,23735-3514-3543-5137-11609-5380-17013-8882,9917-3598-6255-10461-16273-10310-39156-21735,17005-3431-4269-5543-6663-5154-31199-5734,20102-1723-1468-3279-8143-3721-6880-1698,difficult,no
2039523-359522-1411837-848299-1457989-1712785-756180-666786,86564-75111-254602-109064-140293-71330-268990-247750,22884-14613-80509-82119-29782-53937-72868-22427,56927-7475-11299-37198-26971-41092-24214-21823,7121-3435-5993-23255-25382-28533-22625-19221,11328-2090-3696-16289-23154-6191-25297-9337,4097-1311-5915-4802-6124-6556-17002-23806,578-515-4951-995-4386-4018-3236-3936,difficult,yes
652832-1265686-1605069-1492030-1384094-1818289-3196980-378459,841883-297827-414119-335499-83058-154332-388665-23371,179537-61097-147822-49290-4799-16899-65831-4542,337917-62219-35187-138268-38981-37143-42784-1653,116440-36075-9617-34234-19555-8009-21902-916,64868-23963-7823-31241-15843-7416-50941-1319,55521-8923-7404-15105-8059-6907-8157-928,14950-6039-2342-11865-3538-2881-4782-404,difficult,no
1543770-537243-808291-410265-1576725-2781360-559728-249263,194324-202451-61081-59112-424240-427003-68020-90477,35354-115278-63028-1301-37988-147952-9354-10715,109307-58897-84064-40439-18474-316069-10339-10743,7315-19885-9927-2376-19458-44802-1988-3826,14196-14951-12520-5006-13275-165154-9803-1233,7364-5125-4582-2502-14580-23624-1361-3073,3537-4482-3363-886-3606-29051-530-637,easy,yes
175665-256276-213387-994433-175642-1296314-962206-1749361,68637-13101-22505-65699-35030-1184840-79028-485705,3306-5733-12792-86951-3200-120016-20369-90259,14683-4484-6781-5329-13424-245732-14497-52554,8130-2612-2797-9699-3708-89445-9504-48178,4521-3858-1836-7946-3803-63854-14575-24342,2733-5747-3509-4517-2855-44470-8623-28298,4134-1536-825-7251-1072-13966-6145-10051,easy,yes
866798-932918-648952-1517902-1969021-456459-685427-1564252,165378-255488-79014-47006-666159-223126-66154-311709,10845-26984-71177-3182-328052-12135-27981-8806,18427-25530-6661-2539-127930-22836-18793-32532,13674-14071-899-2143-52047-8739-33691-11085,7927-8562-7571-2364-23273-16500-11199-8751,18063-3503-4371-2191-25036-5597-6014-11777,6077-3228-1108-1271-18324-2561-2007-5189,easy,no
678970-120914-2384124-1516257-505943-326824-410587-1401862,93184-22952-220572-110615-58680-34676-111569-120598,43466-12093-19732-46432-24484-14365-57803-28574,11042-8864-46149-31104-7105-9175-39499-57393,29869-2781-4742-27600-1352-3021-16719-11074,11501-7976-10093-24711-3365-4563-6152-16668,8112-2938-10092-10869-1473-3583-13972-17563,4747-672-1524-6055-876-675-2209-2827,difficult,no
1066768-1628588-657932-62900-985466-1011206-185650-89126,295881-134108-40931-30139-288023-79795-19804-120204,47336-34528-10484-10360-23723-40918-4096-37618,18305-7325-4447-11282-45056-11774-3339-1057,67879-4432-13640-4267-11728-6049-4376-8040,33944-4324-11428-1561-20415-4674-2503-2582,17691-4912-26365-2267-22327-4062-6529-3852,4141-3803-5076-499-11653-1872-2623-3287,easy,yes
