delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
9821-22792-8778-4770-10749-5167-128668-435546,18012-39192-48660-32726-12827-3977-41391-264016,6467-17088-7252-10408-3619-3027-18287-17225,13728-4785-7231-7756-7542-797-40352-46326,14616-8889-35197-12729-13501-1611-14477-7968,21276-36262-29725-27080-20737-6119-72777-34175,7135-7961-12242-7395-9179-12865-35391-73774,6820-14350-21346-8750-11270-1656-20256-12102,easy,yes
73480-244924-705312-44402-1573522-929173-1078252-434732,11619-68024-176834-26569-333434-337157-618959-89308,14483-37262-3349-14581-57902-51478-23884-34838,10360-22938-7342-4289-31255-20769-16093-13033,14293-10485-36269-3759-20514-51811-10088-22108,36461-10603-37223-11096-28475-38191-88732-46840,20676-9295-21783-9726-23862-21929-55999-48947,19734-7094-19339-6164-24277-27503-17248-18433,difficult,no
666934-1635769-68154-578598-26093-83912-145776-10474,73976-100536-46726-35044-37439-76669-34577-9660,22775-52061-21816-13786-29495-27567-6601-6766,20978-49519-29145-11073-17908-34574-1295-9714,23868-18714-14799-14798-14605-36371-10328-7547,66071-15994-13261-34215-25795-14700-3950-5562,30267-9392-9331-9469-8679-8464-1327-2982,21579-4472-3854-5092-4774-2905-673-1131,easy,yes
532034-3281271-1192510-167832-315092-470104-1676561-246688,95570-268058-23621-34440-59796-69585-154253-25276,13030-138328-20099-5357-7873-32936-27902-9054,25876-100299-4133-7415-4371-40071-2177-6228,21920-65895-9787-11419-6027-45021-5896-27920,46413-89432-12570-14882-2802-59861-11668-73948,57956-85448-5529-2862-2212-12559-2977-10213,23653-51978-1859-1741-893-14772-2027-17684,difficult,no
379813-157966-281625-1891467-319605-658116-30039-99914,89400-162200-56317-208133-72271-43508-45130-14983,13326-25706-5135-82602-82582-9741-14781-1199,9289-20775-9795-33363-12072-4124-16326-1688,6621-7045-4625-19917-9423-4316-24658-711,13901-37650-6242-27061-7421-14742-23700-2315,8291-45017-5034-9167-6668-8670-28712-1865,3116-16578-3072-9591-2893-3044-13477-617,easy,yes
157901-291894-214375-5799-193997-60715-344688-65369,54683-18636-15967-19282-17508-25937-60907-73488,4365-8439-10158-17175-970-18517-3709-16519,2687-3128-2046-6646-968-5671-8664-1593,3707-9469-5946-24016-6707-7611-14896-10567,13708-9149-12157-41833-6537-7343-39049-2915,5404-7945-10581-21432-4637-12191-14368-553,3002-5056-2478-6758-2408-3136-14752-859,difficult,no
5134-57477-4020-147977-56043-28059-92284-23096,4052-43305-3759-41609-6529-8218-12500-2722,15301-31120-828-22265-6211-9377-8466-1860,9355-2587-1399-5964-10397-7776-9700-1134,12662-6644-4364-3664-6335-13904-8244-1013,24854-5654-9370-6421-16673-54065-23290-13861,8241-6805-4265-2117-9624-20935-23660-1830,11259-1978-2082-2308-7300-3996-9912-1842,easy,yes
1056456-423596-141000-36990-194241-194241-334787-180924,104856-61981-21841-4972-53102-53102-112568-13261,25473-8201-6481-8138-4606-4606-16568-1484,20636-15548-2087-5602-1557-1557-12080-2491,16016-3027-2339-15597-10469-10469-17643-3588,35273-7380-1649-41579-9492-9492-20828-10307,9745-4419-746-12395-2487-2487-8107-2103,9403-9520-779-9601-1426-1426-4160-3786,difficult,yes
256352-57043-12186-21483-77285-43501-162138-80000,49333-36121-7480-14362-10297-70213-68257-22036,12135-1057-3486-1941-335-12861-18544-8052,19356-1237-1453-3535-128-5061-16349-5478,14383-2581-7242-7843-397-10942-33272-1144,4197-2781-9811-16137-1349-11388-14676-803,706-325-5691-1866-229-4428-5786-800,870-126-1823-2355-125-3431-3219-366,easy,yes
182111-5779-58328-741154-13095-222892-27038-72592,17986-9692-21794-177661-6118-115290-11306-7390,9955-2236-8555-15443-6801-5494-2556-1633,1462-13763-7767-12445-10883-63341-1382-650,4737-13486-12252-23695-2809-12237-1112-1911,9559-15064-21484-29201-5457-10495-1134-6282,12143-18790-12017-19172-5504-12875-1096-3375,5929-11483-8237-15134-4645-9503-720-2298,difficult,yes
832950-38096-5720-141378-71495-78896-129036-810393,213819-19942-3264-294935-45326-53972-26288-156649,872-2779-1427-7341-9359-18896-1125-84008,23784-2918-15472-38414-22161-7310-6280-49735,41982-2994-10382-19508-5859-11923-2525-13216,6122-1774-5681-12518-1684-3418-3802-12504,6057-699-1903-1792-2742-1736-964-16242,2618-995-1394-1188-970-909-388-2723,easy,yes
272695-57440-41531-668204-763032-735502-175603-1146818,47887-45850-20278-64770-54074-65669-71482-45456,16724-9282-7004-13151-35228-24700-20322-32365,23428-1264-10929-4831-15442-14340-3653-6372,15259-4136-12216-2730-8745-5113-4733-5117,38504-2964-23534-7737-5011-4996-13078-19709,19700-2328-17495-1789-4831-2178-3294-4026,9485-1276-18481-1734-1742-3784-1621-4263,difficult,yes
860412-359666-241582-188919-216326-165171-380174-297347,316224-74971-104395-29396-78538-48043-90451-356639,7642-82278-5693-20120-20401-16074-24577-18838,58074-12267-5827-2824-11775-9963-3007-21940,18902-5578-16480-3158-6943-488-3857-11707,56966-14578-20543-13960-10000-17681-12255-15916,43610-5276-15531-7507-16866-11158-6150-4290,42761-3056-5721-7224-5886-3467-2144-3285,easy,yes
10356-90423-15727-3383-63342-1315-23395-7588,13370-25237-31970-4772-20487-2742-4191-6478,9422-337-876-2642-7759-7360-2843-4468,5200-3880-13843-2392-2526-2795-8381-10445,16979-1435-12216-1810-1002-1530-8987-11075,31552-8067-46188-4735-5507-9289-24305-47122,20363-6178-17815-2785-1863-7154-9547-12773,13680-3570-15946-2524-1517-4065-11784-16176,difficult,no
122856-111557-87486-28485-14668-269664-61822-458813,9390-13294-16369-14820-10624-181810-23133-11856,4602-3074-5895-8354-7830-14488-6209-5705,1415-9857-1185-3536-5654-5464-3638-2292,5870-5343-1811-4192-12864-13605-3487-6818,11046-9017-4990-8051-56682-51053-1462-5643,6686-6742-2866-5408-11670-9003-909-2472,1537-4963-2122-3778-10430-12593-867-1602,easy,yes
18080-16638-10279-4164-10137-6526-70902-12140,15914-12650-8403-1394-6660-4802-18036-9351,2572-1260-5789-746-3044-7912-1765-3002,4832-14277-4165-9475-2937-7949-2239-2585,3372-10142-24940-18263-8181-7547-2919-11662,14879-33965-21403-31938-35634-18720-8110-16137,9561-18471-20811-9970-14330-24888-2587-6757,4963-8794-8777-12139-11255-3906-1264-3539,difficult,no
284241-13084-35300-832315-477883-289023-328927-28448,55626-10479-9085-370520-74524-25736-30764-12468,22044-26249-5230-75271-14537-17144-25592-8307,4974-8660-11467-6906-37071-9285-13935-13841,13227-6376-3509-11104-26951-3640-5684-15971,65078-44447-14504-69024-38212-5757-8475-103551,7409-28263-10309-48557-25287-1456-5965-37608,11171-11895-2051-14817-11779-1242-3642-22341,easy,yes
796474-485067-944556-214287-1700252-343477-241514-98422,242928-162566-302970-35967-173478-93087-76280-21656,76633-39446-114656-20385-13378-73447-11848-10537,35858-48763-49195-6141-19848-11486-19580-9058,10328-38772-35384-12357-27689-25165-12616-6348,33868-24372-58847-8062-71165-35498-9913-13775,15671-25639-39172-6329-19818-22286-4995-7967,33988-12282-38820-2788-12510-9845-3451-2921,difficult,yes
297001-182786-421405-30134-1247851-1247851-701637-554527,11548-42815-38402-13578-49717-49717-330612-29095,2525-4340-6002-6299-12472-12472-9309-13047,14556-5684-5503-967-14803-14803-47913-13917,7341-1860-2495-2054-7693-7693-82437-4743,17909-2131-2751-1468-7671-7671-39709-10396,3400-574-2072-479-4398-4398-18589-3002,1000-570-2504-541-2917-2917-6457-2574,easy,no
26297-108750-112466-6851-8231-2605-7227-16097,7333-11547-44661-3643-18666-10525-7919-9871,16715-2873-5579-25189-5943-5097-3029-3608,6187-2507-4447-8366-1800-3873-6269-13945,6118-2586-3454-18373-11792-9938-12090-11587,15119-11258-7822-19720-24969-16079-25781-27242,6835-1277-3737-11447-12600-19100-9409-12722,4544-1808-3378-7514-13797-7153-8404-7641,difficult,no
295042-372403-725972-358938-206246-1566647-18576-53418,93397-38610-82305-35276-43604-19464-4221-39959,2505-20620-16200-2659-15323-57087-2710-3519,5962-4823-15597-1818-52144-43413-2511-33442,11267-14657-30688-7282-26025-12204-5082-3911,13462-14369-53839-9254-53149-17000-15568-31410,4106-5102-13848-5644-20737-13678-4944-7990,4024-4586-16414-2634-22291-7577-3690-24361,easy,no
6523-108030-9043-2107667-61196-77573-83989-7752,8067-40982-37350-26316-1641-29459-34648-8878,1575-2559-14361-16500-186-266-1910-2430,6217-2964-10415-6197-3843-1479-2507-9426,14547-7096-9554-27350-2075-2788-9117-2268,70079-3938-59964-32556-3901-4854-28284-29523,16062-5935-27786-17737-2726-2991-4424-6982,20538-3054-8247-13812-1829-2390-6814-6169,difficult,no
448423-622106-573296-151647-354293-163113-2339037-200957,199124-114050-100530-112197-54230-61167-134506-58406,11510-7865-29160-10960-14706-67720-74271-11226,11993-13900-18009-3465-11360-17549-19285-2052,15352-3827-6396-3657-2837-21183-43325-18890,18733-8049-4150-15511-4946-29638-30644-12148,16446-10715-896-3563-1972-6636-19924-9945,7418-2811-1228-1432-1775-6466-4415-7816,easy,yes
11046-157069-1988-268220-8551-7318-13863-11405,19267-17132-8960-7662-2582-17903-3968-16414,3918-3256-1367-5175-2712-2158-2889-17243,13720-6634-3324-2886-2778-5771-9202-4285,8229-2476-4362-6255-5725-14030-11848-6207,23613-6708-4465-27073-4530-20141-26419-26318,6658-3357-2057-11246-3804-8895-8005-11984,8748-3217-962-4006-1134-5790-5062-8361,difficult,yes
216466-3025242-512144-111479-1369045-124722-95472-1450602,149910-130310-20022-42669-45762-49278-65256-86133,38356-35400-20064-3310-23008-9502-20629-29541,9913-18389-25353-4830-11918-2322-6085-11068,14361-13017-13828-1262-12763-6748-5317-3328,3543-7342-24818-2496-20120-4972-3575-28772,1719-4131-11984-1047-4395-6632-2522-9772,825-9169-9913-1854-3077-4388-2995-6247,easy,yes
3956-7231-7283-11131-200381-17679-1688595-547858,4018-2157-7073-8065-21321-4902-377456-23745,4840-1406-7685-4125-1321-2019-15447-3690,2169-1922-5327-1834-2266-39619-29750-3187,3468-10275-8207-4034-2085-47370-11135-9126,5292-17987-11298-4923-5424-32059-81417-26694,1633-7508-9673-2011-3499-2449-18677-27289,2554-11299-6779-2913-1269-15649-18132-11526,difficult,yes
10624-4118-114539-5177-105367-8529-2357-4001,5246-401-19375-1401-9869-853-6511-6617,3633-86-891-2909-3892-823-3757-4664,5071-807-966-810-2779-3234-4075-6735,6080-9762-8604-2785-14242-2914-6803-9000,9343-7316-32878-4519-41363-11169-29555-20596,4431-3265-13257-3881-27234-1981-11418-7839,2001-4981-5543-2102-6752-3081-6452-10673,easy,yes
334001-74327-195581-112078-1230-191890-661212-975252,13668-21430-15469-29770-2847-71237-201353-118282,6024-7037-5694-7813-1808-34071-136668-160741,8074-13365-7953-11673-11435-42722-108244-55373,19514-5087-7686-12249-11071-51087-58543-18297,63010-22886-7186-34474-18987-36645-59491-56323,25937-2264-4402-9884-39633-26674-18992-12734,10411-2063-4277-10771-13233-9520-10471-5561,difficult,no
2350929-96855-34262-179151-49363-166202-72388-58100,82763-119919-18028-33396-41913-53110-55575-30538,36347-14390-1166-13621-15431-32278-15656-8009,18887-5087-9462-2833-2636-5285-3286-1055,24337-17842-12149-7039-7856-4308-5606-1689,42657-27139-36267-7877-6883-14374-15492-10253,7878-10862-10354-4875-2420-4168-2859-9140,11646-10874-6518-1401-2718-2688-2189-3547,easy,yes
82468-1504290-179038-1592797-240344-614127-139259-782991,108670-144507-11979-46633-398648-40231-9131-404147,24550-150204-4523-52771-75760-1388-4511-44333,18289-15230-3644-12138-7686-2435-7343-12603,4959-86560-2051-7148-25391-3564-5083-30793,5116-35412-1673-14776-18428-6833-10645-48516,1844-15543-2259-30677-16679-2562-4609-14801,1730-11260-666-12391-7663-971-5587-9888,difficult,no
358066-43804-47502-12551-1267182-143542-832657-60131,67209-8177-13216-59243-249548-45218-28028-56976,5991-4791-12773-37162-6352-4057-4265-8563,2015-1321-13410-7490-4833-3073-3266-1673,6423-2824-5010-15393-22486-3436-3139-3792,2520-2984-40553-24732-7082-1134-3604-2249,4499-2026-6926-3821-10986-416-3140-1272,811-868-8061-10368-5746-437-2028-1411,easy,no
202965-307943-161774-241482-1324066-140699-45151-160517,16413-15572-6035-31755-246673-15555-85388-24717,4450-4878-1062-2847-35675-5908-5454-17788,2571-6448-2668-12980-50395-1863-5306-4916,3054-2283-927-13915-39199-2673-10953-3933,9912-10360-4565-3188-34890-1096-5301-12073,5540-4474-1009-4142-14945-612-2376-3365,3148-1432-1106-4673-15742-329-1150-3772,difficult,yes
431634-232497-2947-78943-34334-53872-30402-42323,88407-53312-3941-33938-9458-4961-32343-7504,6946-34342-371-6398-1737-2650-13753-3469,18760-29013-1268-10535-5460-2043-5528-4949,9591-63597-1561-5789-1425-1469-9636-2163,28761-24415-11940-23464-7733-1463-19076-16593,6032-18148-1049-5936-4016-925-22810-2277,37610-5145-1892-4929-2176-540-5733-2624,easy,yes
73725-86847-11519-74073-8286-92642-134121-162423,15869-26880-14808-29047-12895-12043-44830-20995,5761-3032-14379-22747-4128-4165-12056-14462,5230-24221-13941-4558-3498-8391-14057-7999,7922-11779-6198-10019-8831-8278-34031-5188,10198-47984-53854-40892-8579-7818-37169-13588,6282-14284-14459-15593-2406-5334-18112-4836,5545-8406-4668-4435-1283-711-7408-1204,difficult,no
90976-405941-21849-77853-79614-53348-62734-66788,22629-143604-8767-12777-865-7943-3937-3808,11734-47663-5851-1342-2701-1877-4365-2781,20620-8513-4010-3823-2592-2180-15561-1376,24094-10407-4547-1572-1915-1662-4181-4821,18778-22781-33792-5021-6467-6442-15631-6791,25999-31227-7932-2121-3503-2283-4738-2231,9414-16587-14275-2179-2734-958-5765-1104,easy,yes
279186-129829-227364-119898-636679-38264-362853-87812,534850-15127-96295-23359-182529-12272-54658-39545,49752-5180-3078-5673-53419-4207-9524-11462,23554-3813-10121-14856-51425-6009-10486-35686,11720-4519-6604-3022-17069-1944-5473-18087,26059-9276-10550-11223-29795-7540-4452-19516,6389-1987-5883-2559-12724-11453-2729-12444,4550-1511-1332-1381-26725-2320-1955-5201,difficult,no
130763-53651-111950-619683-134236-20724-50402-77461,11981-36617-11252-24209-17918-8073-23758-10310,1262-1404-1485-8619-3432-4672-15554-1315,1210-5508-5758-4878-2573-5472-6260-458,686-2428-14853-4499-2490-6197-3150-1344,3813-4594-31829-2731-752-10694-3469-1345,1112-979-10624-5751-266-4371-2563-1440,876-1628-3432-1197-350-2710-1063-780,easy,yes
235534-325179-189669-145647-167152-123162-164930-3004028,19895-30757-123188-8222-48646-9872-102872-225791,1674-26742-16795-4766-3391-2681-24917-39120,2747-9622-19306-5103-20311-165-16334-25923,3578-5161-19893-10702-6706-1271-32278-32965,7720-5866-16935-10828-31998-1707-28875-31763,1891-3433-30171-1775-4427-1040-15706-5023,2009-1471-9465-1049-8921-357-10702-7530,difficult,yes
54713-135956-1685766-90534-201436-299248-1669594-1776976,104959-51008-143596-14389-16895-39362-99826-92014,6554-6003-35070-9981-11364-12188-8595-24569,15084-11424-50135-2455-8095-39050-5197-24608,13404-4071-24787-3972-4337-25166-8333-36424,17962-5840-9086-916-4833-27424-11630-39544,16806-3983-3677-141-690-17158-3022-6765,16958-1160-816-142-1327-6297-2796-4689,easy,yes
646321-535740-65140-29840-255627-46321-171470-329348,37572-180417-8074-27625-18914-1904-232044-88447,7115-6341-2877-21899-1149-732-153561-20556,2018-8287-2389-4157-1584-1451-51293-6983,18189-18228-3707-11161-9989-994-18408-11445,13856-47377-24117-74058-7112-2119-40400-10780,12781-17965-2114-10338-4095-846-7139-13053,6556-9430-2552-5317-1902-298-7731-7640,difficult,no
62410-50670-20295-94882-1557722-41983-24200-34727,13336-3215-6088-10394-82414-27283-13904-54304,2119-1310-9686-9261-9939-2710-10227-17769,2368-2629-5626-3329-19061-6921-12202-8802,3274-8290-7793-1773-22417-2305-5866-9206,5492-10650-7738-8368-12018-5399-4060-3998,1056-3278-3720-2433-4221-1479-768-865,531-4421-5072-5427-3308-1726-775-820,easy,yes
571936-105158-156849-992341-1516368-102280-95465-1081024,193740-7215-226992-626617-65068-24363-44860-106675,53647-1803-26889-176220-13745-1595-10635-11018,39682-1047-11647-76382-24310-3561-8993-9538,15336-3262-17094-123096-18459-4143-6588-10971,86267-14230-6713-90578-10396-15734-1584-12210,12778-3779-2678-39863-2073-6161-1351-3202,23557-3302-2980-15695-2187-3805-578-3763,difficult,no
872894-145099-12950-2008538-115168-23303-93814-11149,207633-151933-7484-232075-31576-45458-7400-9001,8410-3573-8339-45928-3928-5324-10399-3446,7206-6203-3873-70484-21109-24781-4087-8136,89573-11782-11383-79256-16116-13742-2329-32247,27762-12474-12258-28024-4609-49931-16641-17395,16420-5114-2963-8963-3772-15325-4774-16406,11969-7265-1412-8434-3652-9950-2488-15011,easy,no
421292-4125-10984-55708-25425-72756-76766-130627,18360-8059-2672-44064-78942-18772-15973-99564,10195-2342-641-14523-8318-1286-7166-6444,18733-1990-2230-3282-5819-590-3346-5966,4187-2764-389-5403-2392-1476-2004-5992,5962-3276-2686-3359-3022-2634-4854-2886,2072-1080-2736-865-1256-1459-925-1736,1547-960-956-634-1580-1003-1340-1325,difficult,yes
112177-500251-111436-150611-175465-167245-25032-150348,22389-86256-280730-31945-7831-33661-31084-63702,13370-10825-13098-7182-6659-39526-20535-50972,4061-2908-15488-3601-4919-11470-17318-16355,3243-3650-16368-11623-2365-5621-20598-6324,10234-14118-34980-15316-8403-20697-19705-45476,2589-5648-7939-15608-2649-13454-6719-12231,3537-2295-8104-4249-1992-6674-5069-5101,easy,no
602450-27526-1307352-33944-80671-91391-7939-303004,10124-26363-113953-35925-162112-12575-1793-184781,21209-1026-7396-20549-33731-2100-5478-47768,13820-4834-17286-5897-7893-3188-4722-26403,14262-1125-16411-9593-6978-6771-10269-17372,21083-2925-31221-8105-4252-6506-21734-12162,8642-1926-15773-1415-3827-1192-7283-3677,4568-2497-4449-1894-2539-1919-1877-4640,difficult,yes
16069-110182-244941-152473-49764-310669-21772-90201,6340-12571-133140-24602-31085-41157-46080-2876,2112-5570-8266-2676-14072-6161-30770-10283,6914-7659-5400-5245-8070-4003-18243-8900,4746-5719-7545-1972-15623-3480-14297-2259,3690-3547-8952-5323-15718-3736-43530-6776,2550-2922-887-1598-4489-2095-15100-11780,2118-1826-753-341-5763-1000-9216-2276,easy,yes
20113-18442-17971-24965-175793-7188-6735-45003,28759-30394-19072-5819-61024-30335-6929-20655,7894-15565-2173-9753-9753-6390-20711-1429,3927-29405-4566-17522-3394-5923-5047-2405,3725-10460-2342-7411-3404-10885-12631-2191,2419-13709-2984-10528-9142-11438-16832-2435,1012-5456-781-6439-1222-3734-6349-1330,1641-3625-977-4392-452-1891-2418-648,difficult,no
1499686-68834-16787-108132-425760-569026-118783-35496,80126-10325-4739-17297-15286-17248-7264-15410,12633-5102-2435-3941-6289-1703-1698-2743,30937-3886-1834-5598-6896-5077-1786-682,8571-1979-1517-2920-3036-909-4515-1656,42976-5124-4653-3939-10734-6265-3719-6953,17438-1941-1763-2237-2231-2727-5261-894,15331-1506-1537-2812-2188-1655-3495-987,easy,no
109493-121829-38021-610830-19685-23965-259837-43302,27632-57874-9769-131956-15968-103352-175439-31997,25217-4810-7955-34999-18930-95978-38799-46699,9582-10538-4382-202616-4924-28254-40032-24998,5661-5865-5239-21025-11047-37835-58276-51791,4285-7117-7673-18349-7556-24346-10050-9585,936-2119-2951-3826-2244-19806-11703-9188,1494-722-559-2406-1224-1278-2373-3466,difficult,yes
572443-63828-23663-1558779-127696-53621-94999-116298,156980-55845-18575-527428-12869-45759-28188-22032,8609-8422-1593-48982-5303-23915-4270-10682,14078-3180-1036-25205-11450-2638-4686-5229,18360-3561-1366-26138-14028-19806-7533-12652,12785-1494-3098-14322-14144-6698-13440-7169,4885-392-521-12779-2477-7681-3469-1700,3449-358-791-7023-3578-2093-3844-1194,easy,yes
71521-1183756-7367-431028-41196-98651-35627-97454,17517-70851-11974-82854-29693-24100-4416-38246,4833-10979-10166-26581-1409-2681-2747-12381,2273-16476-12738-1739-5106-34934-1966-1183,3211-8339-8435-11020-1440-14517-7779-4876,2518-7668-12305-5228-3098-14973-1283-1944,600-2619-1647-386-305-7560-938-1543,513-2071-1520-364-414-1222-576-466,difficult,no
18841-1410481-1098093-488501-379640-162423-8292-345540,42093-40683-147616-16786-48591-23932-11556-32999,2597-39297-18881-10332-13097-22735-3082-55343,7161-30507-45401-15193-38657-4795-6232-11047,9921-31610-13156-7144-10601-10869-5464-13184,17764-42444-12669-44604-13712-24513-5072-22288,12098-15506-11891-31043-9346-14513-2467-10352,3855-6339-7648-6204-7765-5397-2849-9557,easy,yes
18633-15699-1216-45534-121050-81267-159435-73611,23607-15777-9349-28931-34940-21474-8785-25693,8236-5950-909-5180-3965-2862-1858-10104,5531-5046-9561-3334-1802-2160-1240-1680,7189-10098-3261-1381-4956-2862-434-4568,8501-6043-5483-4019-927-3180-1043-3517,2581-4735-2362-394-1461-901-502-636,1551-1827-1578-434-707-920-84-556,difficult,yes
68426-32356-63037-111706-436737-36840-566240-1379828,78636-61951-25963-16547-67472-10025-373280-52921,5225-2554-3806-11388-82750-11423-16521-7678,3865-4343-5100-3096-7506-2003-22416-15428,7810-27271-18246-3213-8847-2339-10931-9013,3036-24565-10026-3041-12015-2757-21213-36979,2184-12870-11776-5859-3127-5330-10377-14695,1140-9452-12584-1672-3387-2074-10962-8651,easy,yes
228838-1562932-46059-36551-25846-29461-66285-1647363,28891-141749-9403-36278-16932-75753-35415-182408,8634-65197-1119-20615-238-8499-744-64853,10484-24042-4973-11623-430-2777-1456-5545,11642-25981-2744-2295-2867-2068-1609-31815,4181-7215-2194-2761-455-2804-931-9844,2331-2851-968-3378-423-865-189-9222,1319-3524-1276-4999-199-862-680-1594,difficult,yes
51052-495137-2888-710529-871807-71807-475476-49304,31918-41888-1944-75901-17730-16534-71872-31253,7882-7026-1043-25929-10391-20866-2205-3628,2659-4192-1037-18214-12346-4191-11958-8185,3285-10455-1083-29078-4521-1734-11696-2855,6929-41371-14937-68726-10319-1915-9149-7166,6036-15103-8762-62172-7989-2285-9864-4486,4080-9905-2605-18487-5432-732-5803-1026,easy,yes
204881-396083-11436-31496-1004358-349472-5391-78445,60435-48565-6697-15181-233144-70410-2178-39468,35529-11186-2865-1696-16769-6022-522-9569,9977-5452-4258-1756-9206-5000-1091-697,18268-3419-4205-1125-26040-9548-2103-3776,6668-3371-4431-909-13041-6336-2137-3983,4640-555-1170-690-10192-2063-1134-2362,1565-2352-1309-311-8778-1945-820-1037,difficult,yes
221388-20610-23147-120204-35783-2241925-55581-405588,36417-8671-16184-53931-6783-926033-1331-51191,9714-2702-5091-7146-679-68640-2147-5304,4848-3893-15564-5523-1727-18428-4934-13794,5660-2602-11322-5553-2267-28896-962-26891,5780-2491-14306-8189-2480-16835-2209-39543,1821-1682-10588-5786-2975-5767-551-7564,1148-1160-4493-4374-475-8490-479-12208,easy,no
128588-354045-831461-111925-79038-87421-220014-1779433,16863-119387-65971-51438-5549-34210-39477-301639,11805-12010-19789-25113-2390-6200-1586-99588,6214-18168-6326-15655-1285-6463-1154-46400,16029-9533-18561-14603-613-4605-8951-11119,15938-11711-16380-13868-1789-8195-22721-50920,6904-5068-4297-6570-394-3843-4748-31375,7311-3554-5050-5423-556-2104-4066-16920,difficult,yes
15250-68365-5786-2375-11812-30600-12762-125437,6473-8519-4761-7853-6104-7134-2387-8755,3820-9012-1930-2030-14905-2470-467-5067,1780-8944-2760-10086-3288-10370-1987-2213,5175-6291-4351-9801-9047-10031-3963-11946,4076-8103-3177-30621-27807-39401-15649-20455,2508-10358-1875-8195-17667-7222-2258-10181,1910-6618-1872-5378-5335-5393-1025-2542,easy,yes
