delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
2172006-603219-167781-57859-389407-22166-81762-1090129,443193-106019-21512-97676-23394-8525-21727-751307,76590-47838-8240-7001-3053-10525-15026-34667,18421-12393-1975-14775-1569-17663-6943-29065,27636-17170-1948-17825-1960-32704-3795-50583,14576-13872-721-15848-795-13849-2689-62213,9613-9464-629-10185-307-9198-1797-8759,3931-12035-321-3175-824-7259-1201-8115,306549-84435-248452-320706-82906-1211191-180936-90259,45865-124144-36073-20383-16919-105238-53649-55524,40535-62711-20771-5935-6438-35732-11729-27699,6305-9454-36799-1018-5903-16553-3528-37487,7742-10029-17736-2881-6104-33933-5778-17463,22331-5509-15007-2388-11231-48211-9672-20627,2559-17232-5188-1209-4672-7247-2462-9889,3349-8790-3322-1344-2497-12110-1736-4508,easy,yes
48721-141382-29393-17889-744410-38557-230105-76051,61733-91431-226744-14578-93264-7800-47959-22619,12237-26921-5778-3300-10773-3138-7499-1382,3104-7302-19092-29233-38531-892-8836-1163,2901-31255-27003-8745-32787-1535-5565-4657,2442-23990-31526-11811-12052-2567-2175-555,4452-8731-4323-4045-8779-1231-1506-492,4777-7295-3424-1361-1844-473-813-471,easy,yes
236747-277326-82275-399864-163917-526791-188140-612537,25896-50720-46682-28282-48381-61024-217421-248964,25820-15941-35977-6146-13135-10311-92136-18342,7625-8893-19596-15550-10825-3037-30337-5637,12589-9613-12490-3511-16628-3720-19361-8010,13289-2361-10457-6662-5365-1252-13102-14902,3988-1238-11073-1313-1633-385-8286-3900,3508-620-6561-3783-1236-370-8257-1949,easy,yes
187167-66123-166748-95416-672627-639862-32773-61887,40974-44303-227603-42750-227468-67734-46260-6800,41677-10539-11601-14593-34319-23997-3301-4121,11516-22465-32210-8636-52282-11284-10998-4792,12010-9962-12028-6548-21670-11627-2589-1515,8436-19418-11295-6383-19071-3286-4177-476,10248-6462-18340-2243-9273-1398-886-461,4904-4052-17602-2953-5029-1046-1094-163,difficult,yes
133937-76835-25987-661030-604902-411318-139140-113429,32745-8144-17255-122264-473668-19822-16568-8063,5300-7796-1652-26247-99179-899-6976-4265,2360-3156-1723-4485-28219-3121-4646-1531,4386-29178-2789-10334-7800-7890-16043-555,4573-18019-1148-12385-46197-3462-2821-918,1659-6627-1019-4520-19179-3654-4946-368,1581-3834-618-1202-7799-1292-1311-171,easy,yes
2062574-324986-90004-20917-195962-132427-92823-153971,169054-26122-21947-8357-56150-80101-24061-46617,19917-2184-42915-13652-20935-12807-11988-29569,53281-1902-16821-7362-3878-3137-9873-30277,34949-2676-25783-2478-11651-3398-7807-14995,12082-1054-24106-5728-2318-3700-2467-20836,11578-556-8519-872-6418-1644-1704-6520,6877-320-5074-768-1634-1593-1045-3198,easy,yes
35207-145360-282007-221119-112698-93578-177282-165014,64852-53521-28419-16014-31086-38762-37109-52251,10281-1315-38056-2225-2900-63217-39264-7719,10942-1270-5762-1093-7330-22925-6211-6976,14626-4470-8293-1647-4028-21263-15855-17108,7564-3545-3991-1256-5479-12349-1968-2560,4228-1233-1546-298-2161-3632-1309-725,3506-356-814-321-3667-2364-1040-1116,easy,yes
66066-124262-92218-177790-52440-90131-634253-320857,14042-10510-55867-33535-10475-55589-160669-46715,6812-2723-15992-27863-3352-8046-31057-4304,1278-1034-20738-16746-199-829-8536-5556,1445-563-14794-3975-1137-7311-11424-7810,1963-2681-5161-11983-712-6166-13700-4147,643-474-2056-10645-694-759-1395-1210,575-471-1583-4733-182-1955-1761-1579,difficult,yes
55812-9032-62508-1144727-58086-325704-88248-249931,22061-16401-64290-288213-6096-74236-41493-23423,22257-11996-33011-24856-3837-14355-13277-26395,8981-10094-31084-29323-7172-1994-19205-8567,8289-16998-35292-16639-4068-6929-3511-7115,11502-27292-18031-11485-2235-3570-3586-3010,3983-3884-6876-4034-581-1281-918-2831,2583-1665-4185-5846-416-793-561-997,difficult,no
183235-236980-297501-199529-862385-281837-310553-212601,14479-106124-40973-32903-345274-50859-9132-136768,8351-7700-14384-9539-72510-15650-1447-10500,7668-4752-4128-11052-40883-6652-2614-1831,11105-5527-9347-7619-25433-5620-1706-7819,1719-2657-2571-3392-10625-3538-2013-2130,1035-3336-2089-3436-19968-1706-1158-966,596-1847-1456-3484-13968-1379-601-514,difficult,no
