delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
5691-39996-1739761-73359-87374-8278-480089-61220,6051-12107-109346-73033-79894-10111-107896-47383,2080-3775-10051-11662-38451-2154-137394-53735,3156-1763-65397-9856-29477-8580-33549-5818,807-723-23351-6340-20031-5892-6406-4874,6054-1023-19907-6784-6151-18985-17182-10371,1887-1146-17207-4490-5762-3763-14175-5481,2363-169-8185-3494-5187-5163-10895-1776,easy,no
701909-612849-264590-192197-187426-139796-457221-289071,136970-24669-116340-83612-51215-5672-56966-130250,33354-7412-12373-5019-39578-7258-37287-8690,10713-16445-10615-22126-39016-3090-27021-23316,11047-4987-9813-4699-3094-4477-14307-15558,11202-3777-8616-13282-7675-1623-8598-13582,4359-1946-3092-9465-6263-2180-2997-3654,3060-1020-777-1490-2002-440-1726-2720,easy,yes
1114697-886262-26651-904836-918829-8890-6019-5000,1615268-55461-10398-68402-266815-6986-16116-9813,195015-41122-25215-18362-147787-3889-9915-8472,172709-36240-24547-34856-26250-2305-4809-3178,86734-10690-10119-13999-44831-10583-6796-3837,48263-5005-15310-6679-96916-8612-15916-18941,58575-1930-7335-1793-17357-22337-6257-13650,28766-1625-7541-2236-9866-7367-9635-4164,easy,yes
800894-200884-1456597-346696-1491592-941791-1045115-593969,276333-110481-27075-128869-225720-189273-605199-45646,46081-13677-18240-2920-14162-32125-100612-3817,90110-17549-15595-43128-11732-97750-36138-40435,37837-4580-9255-5879-24346-52259-60464-13356,32288-6847-5695-5670-5450-37237-30164-5166,4150-4355-15264-2257-7843-28635-15097-2112,5545-614-1074-1080-2111-4400-7432-2321,easy,yes
220532-431724-886372-2221527-1474798-695356-370198-69495,24593-40685-469915-286048-104191-233536-142415-85999,24848-22170-274338-29480-71928-122131-88460-30601,7283-4884-39267-88786-64787-6871-49558-12373,7114-11041-52847-54565-135910-23556-33031-6118,14998-8348-30977-44451-31254-28524-22614-7707,2970-2270-11519-18345-9166-6570-10474-1588,2254-3761-12033-8808-8007-5421-7324-1656,easy,no
181969-2568974-2046172-2642079-2642079-2631789-143642-22261,117874-219002-199136-74929-74929-327421-47307-16965,26620-95550-94623-10135-10135-86347-8734-875,7594-105625-29255-22458-22458-85675-8296-666,25515-48926-29149-12573-12573-34779-6611-832,11558-19873-31333-5996-5996-41962-6166-697,4752-14565-36237-2575-2575-11597-1755-629,2473-7321-104415-3994-3994-15374-1997-326,difficult,yes
415197-742084-14871-201531-2087-94351-156550-58091,68613-229193-8210-8349-3285-84602-115207-12783,6841-54377-4622-1379-3489-2946-11841-2445,20980-9171-1387-1233-8849-6181-2990-4475,5052-6226-13242-2650-8450-2710-5368-6155,10559-18688-12062-3402-9289-4674-1931-4914,2182-9164-8157-701-7201-3034-2102-2106,1651-4273-3528-887-3079-1525-1843-547,easy,yes
100642-1232604-128811-69693-42954-909137-1082546-45556,21511-20523-31969-6112-62321-366787-142484-17095,25661-5744-11115-2409-31009-51115-46029-2457,6804-9410-29542-1800-17705-6653-12796-1462,1220-5030-5614-2841-8359-28984-29530-1329,2435-3711-18974-2641-14595-12138-35704-726,844-1563-3354-710-3700-9847-8680-314,725-774-2705-1404-3756-4671-7770-690,easy,yes
615117-153033-148049-1142495-80496-7111-115833-69228,122608-72477-46965-20418-5319-6565-14127-47075,3569-1082-278-2565-1758-17874-9673-16855,9150-9197-5675-12924-932-4223-8732-4096,7564-5474-2827-14928-2257-7835-1611-13771,12428-8162-6652-26881-3114-17819-4698-12695,9158-4383-5715-21137-3146-7590-2683-7857,5543-3159-4349-10122-1846-5786-2628-14321,difficult,no
154142-1050714-489854-354071-98361-4182-9025-1212,24842-231116-51726-42894-5719-4250-17129-6915,26845-97859-17716-2879-9110-2076-567-2034,39265-91237-9922-1241-4125-8777-1930-4835,5942-21765-10218-2473-1524-9470-3270-9137,23620-82155-7207-2019-3111-14996-10906-9891,11164-4768-2471-420-2431-4575-6386-4590,8485-6984-3762-722-1526-5921-5872-6033,difficult,no
58467-1045373-5514-1781198-32508-60690-273673-1641,33325-39228-1812-285761-8556-11108-18234-8845,22114-9160-1345-68399-9286-1081-55713-1949,15087-11042-1603-31899-3982-2122-12542-3391,13345-6302-1185-10262-7851-753-6185-6781,19114-15937-4806-13883-16145-6373-12364-21145,5991-15194-4142-16042-10528-2411-6237-5391,11564-12576-1442-4346-9392-2150-15259-17098,difficult,yes
689800-1006331-173483-2096043-4605-9097-266987-85580,72222-76246-24864-281496-1418-10632-61613-55569,5583-28905-8304-43810-3111-35982-1015-13599,10280-36580-6343-58851-2678-8302-1748-4951,4839-6830-5552-47806-2124-10607-3785-4019,5597-7676-11397-19307-2716-11893-3069-3336,1285-4181-2052-8842-1356-3834-2308-1962,2154-1978-2408-9056-863-3447-1492-1948,easy,yes
2204571-40894-7822-5715-11193-6394-3851-4770,164598-5440-7943-23455-7940-6337-5366-50129,44786-4442-4747-13842-4012-16584-1008-12676,57950-4418-2550-1722-8680-5043-5801-14312,8716-10690-6997-5246-7517-9055-7645-9788,42316-16303-14258-6644-6416-8867-6815-8650,11286-7428-7009-4860-2040-7285-4800-4756,17165-7490-5509-2802-3549-4633-3660-2308,difficult,yes
191354-248220-628250-226094-13053-1613-51633-245217,91274-538586-17657-46181-2406-10443-20867-51313,4576-25039-11327-23654-855-3308-11358-17432,2803-23749-14050-19704-438-6737-4557-7193,12462-7553-9212-4866-572-4727-15683-8719,15651-8406-6328-2874-2571-14858-6278-12437,8461-3637-2302-1271-690-8558-6181-3918,4817-1624-1451-763-500-2493-3688-2786,easy,yes
559216-532115-195440-128043-189939-22089-6631-110505,35726-118402-15451-42433-228524-1260-6138-54935,3932-25540-10596-12797-8092-2957-4113-24766,8302-4027-2202-2120-4558-941-1982-8797,7580-7109-2088-5634-4690-1343-6641-4772,10660-5709-3065-2931-3203-5651-7487-5936,5314-3538-1767-1668-1490-1039-3888-1542,9132-2082-985-738-659-675-6509-1508,easy,yes
675744-368897-232351-2205245-1209104-392377-327711-2510352,143466-47006-13356-277004-188932-49813-19432-474171,43096-3529-8322-33309-11981-2087-5360-234147,42062-2768-2093-29900-47449-5639-4153-740793,25748-2061-1211-19758-28958-16776-3232-135636,15823-4486-1132-15197-11418-4431-3288-86859,3390-699-258-6071-3959-741-4579-29810,3660-528-702-2755-1612-586-2505-20822,easy,yes
