delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
287782-16225-25751-10663-73281-13886-561-13967,37160-17138-42359-8388-48313-22049-7770-20155,6995-4111-56006-8027-2265-446-4180-6597,13857-9892-20155-17202-3337-3204-9951-4720,7847-6725-18662-6187-2147-4631-5467-1884,7127-8138-5733-7131-3655-5303-8503-4748,3207-1782-4876-9395-2607-4558-3849-3671,4999-2161-1499-3096-729-1822-3407-3697,difficult,yes
95930-3554-19184-3925-3960-56015-82144-930673,6382-22476-33372-11733-6952-15727-30106-118585,2040-6177-9044-3682-5994-11143-31699-54237,1805-6285-7315-14718-2544-12224-21259-15993,2013-12157-2592-5226-8399-2436-4665-22997,1542-10999-6744-7294-9073-2324-3333-14195,534-11460-7484-4181-4902-896-3151-7171,449-5872-3243-1424-1769-1468-1224-7617,easy,no
279827-19011-14199-9525-2646-47693-659343-114989,55100-7489-4971-15570-11627-17233-67447-21785,12471-2841-2062-3031-4500-2070-19177-11587,30242-1357-12430-26870-2801-1224-17038-9574,11091-1983-7315-6228-11490-2332-8082-4810,2386-2314-6443-8948-15097-1956-6854-6299,1116-949-2876-5828-14444-450-5842-12075,1177-1349-4342-3910-8452-132-2991-4806,easy,yes
358015-28490-91713-3383-5191-7598-91810-153287,9825-20496-12374-10125-8104-2534-49285-17478,4821-14183-4650-7712-4806-766-2444-18606,3408-10870-1061-7414-26520-2316-12566-7584,4026-7942-5172-6181-4774-2073-7257-7403,6925-12274-2129-6278-7553-1612-5396-5262,4522-8745-1063-1534-1543-815-2024-2220,2277-11140-559-1307-2510-1179-2773-1526,easy,no
61973-1531120-9990-168355-92221-84365-1037822-7457,65694-85500-19012-58760-9367-8796-83779-7944,8001-12259-968-4579-11449-17734-1630-9857,10876-20264-7566-2586-2921-32263-22927-10670,4224-16713-6828-6654-5128-7600-20114-4365,3532-18554-12059-7816-5928-4309-8218-5286,928-5805-10222-1267-1919-2798-7048-4946,569-5150-9642-777-633-2442-1391-6203,easy,yes
14275-4870-2583-7174-31216-8981-53866-8593,23261-6240-5867-11365-14953-6954-82775-16393,7970-8875-24787-2528-2959-5031-5293-2134,6504-9145-11488-5968-10880-7479-3846-6548,20641-9694-3080-4811-4965-8135-3450-8947,7327-8521-6766-4354-7096-5007-3796-8107,9515-5433-2348-2950-1950-6785-1268-4989,6872-1944-2637-2096-4060-1867-1243-2720,difficult,yes
98761-18523-9567-3562-8454-105335-471817-4261,4710-9320-20112-4281-12766-16560-20051-12113,9222-8531-8614-7466-8107-25856-8019-4843,1766-3067-5138-5062-3454-18231-3051-4293,2227-17287-1729-9858-7522-16839-7821-2926,3125-8669-3730-10989-6239-14954-4096-16190,2273-16586-877-4429-10974-5426-3762-8718,1401-3348-1173-5914-2031-13139-2214-4158,easy,yes
43359-82841-18268-5682-12637-7126-8552-6668,28005-8617-13425-9704-4481-22735-5342-9553,2222-6610-5701-3069-11849-20165-5131-1334,1732-6025-6829-4217-22571-12331-3023-1233,3310-4948-4935-18005-5975-5112-11361-1634,2172-4087-10989-7411-35315-13172-10640-3150,2377-1655-10789-4596-4540-4634-4427-1008,1595-779-5831-2538-3542-3752-3359-713,easy,yes
39186-32763-11032-721275-1783-13804-27347-181511,4898-11663-8849-30158-13230-18010-16809-25791,24348-14622-23021-9828-12285-27103-5040-1737,14696-13554-5374-17149-4454-9730-3427-2380,9264-4963-7514-35025-4221-11155-2132-840,8418-10656-7409-27241-13080-22813-5039-3874,5581-7380-9260-9819-9859-12676-2002-2862,4197-7309-8805-9515-4483-12573-5596-1837,easy,yes
173673-228500-162149-539490-14126-61428-9320-2972,108441-49197-29925-74288-12746-6312-1776-25377,18557-15143-7100-38301-5171-1486-1456-2256,6599-1173-1190-33327-4477-1535-3081-6903,2503-22882-2697-10912-2342-4047-8120-7524,2867-6963-4101-11479-9364-4192-15280-20433,3539-9987-913-42332-6392-1583-9809-4087,3787-2939-424-9454-3452-2327-7448-3340,easy,yes
