delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
303007-258063-282406-521023-280285-141840-2427835-2427835,18182-38000-116761-32950-47908-45643-341721-341721,7601-25464-8151-10574-17168-26959-51649-51649,915-37433-17405-30497-3635-5118-22965-22965,340-11010-10866-8608-10755-3332-24964-24964,5934-41025-10357-39333-7338-18319-30504-30504,3021-22860-7015-62609-9699-9416-8879-8879,1825-13913-6252-9773-10011-4701-14717-14717,difficult,no
573939-573939-244485-578246-756521-756521-596789-217890,411181-411181-86801-250760-203248-203248-755399-48032,20640-20640-11935-17354-9537-9537-6527-21464,37705-37705-4075-1609-3487-3487-4373-9102,28922-28922-3879-7930-9883-9883-32334-9148,13371-13371-6240-5260-61498-61498-38202-19680,8105-8105-3420-10188-16475-16475-13534-11508,3180-3180-3233-4922-8321-8321-12244-8623,difficult,no
289818-466420-822542-12603-12864-11699-21286-21286,62576-87688-71040-31199-21225-5513-10469-10469,14667-6648-17851-2493-11613-34453-27443-27443,26827-4312-27924-16593-29341-30685-15879-15879,13058-12940-17330-6694-10604-16100-4068-4068,16516-9455-24054-32336-11222-15975-31856-31856,44584-20995-12433-32125-27978-7899-15917-15917,18543-1394-11612-13873-10070-5324-6564-6564,difficult,no
19300-116982-350027-63189-284870-315184-64196-1756247,10276-21344-17539-18285-312359-389334-58409-237722,3227-5605-3994-11005-10971-53538-38149-48245,14861-556-4091-14594-29320-7222-13531-15809,12478-846-5301-16971-21805-39088-16268-19063,35912-1371-6890-62463-9175-10929-15303-25681,20913-1133-5529-16603-18673-16732-7431-32118,8579-961-4606-8272-9039-7832-18988-11006,easy,yes
18127-2159-52824-28369-118982-118982-72155-200569,4332-7434-112219-16828-142962-142962-15557-45609,8927-7067-14781-12103-40506-40506-3444-2271,1811-4683-15092-8555-16049-16049-1800-1076,9091-14157-9915-16297-15638-15638-3077-5592,27593-11877-5894-27068-45740-45740-3217-6335,13170-9721-5866-14198-9944-9944-5821-1903,17866-7226-4733-10781-19420-19420-2045-3160,difficult,no
437701-186095-372047-6933-250418-250418-10158-278388,66312-16005-4193-9287-86472-86472-3337-41253,6892-2913-3013-1455-4542-4542-12179-11823,17264-5156-7278-4343-10771-10771-2506-9091,24781-3939-3772-12112-7154-7154-3470-8564,28617-10240-9564-20137-5999-5999-19297-21967,25602-5064-6402-10868-8351-8351-26890-18032,15810-2329-10158-15150-2305-2305-7671-16970,difficult,no
75775-1940338-319789-823511-823511-1407089-367851-256109,25794-218291-47059-147788-147788-355555-62883-106788,5259-12245-1057-54382-54382-48965-11403-13749,3498-8894-6243-45638-45638-28906-17337-21033,2452-24275-3640-5862-5862-59038-25667-14669,12553-25495-3167-52722-52722-17312-22191-25080,11735-26228-882-49052-49052-35946-28541-16957,7639-8406-890-4910-4910-11902-26997-17027,difficult,no
22862-1243542-522450-1076250-24330-315850-87146-461041,18385-57171-48906-500007-22621-57034-28707-21979,8438-13052-3977-49417-901-17280-7706-5823,13411-9772-5007-17961-18592-10478-7607-1199,6138-4299-31627-25603-11755-36195-3712-6841,54147-8689-56427-38732-54828-33246-6095-2624,58504-8655-115544-16518-21521-36459-6694-11064,10234-4643-29030-17502-6366-28123-3577-2996,difficult,no
474232-34843-128283-1544031-63313-418276-13060-61039,70546-5747-9759-182797-56173-21883-5028-86668,88405-2237-6019-128015-30786-4517-1954-10500,21139-2181-1893-25021-10860-1561-6431-4884,10204-1133-1053-37356-7798-2782-9568-11168,7816-1168-605-18267-7532-2823-12927-8182,6598-387-278-4209-2028-2807-7702-6292,6497-341-566-6560-1869-1169-4277-3421,difficult,no
1732700-436166-412425-412425-261552-83350-19702-156844,104022-71952-261790-261790-18015-7862-6363-43141,65414-49756-56303-56303-4689-7752-2870-17148,53233-7337-35732-35732-11568-3033-5106-8577,10111-56084-42104-42104-5130-1595-6514-15720,16296-20187-17259-17259-3197-2281-9431-14729,4951-6122-12727-12727-6385-1018-9607-8406,4497-6052-7018-7018-1538-1076-4340-6594,difficult,no
42030-107892-190622-190622-35058-89585-257066-1024051,31437-66829-159113-159113-8585-17563-119368-214454,14728-23089-35497-35497-7920-379-9393-127134,12907-17596-15443-15443-3356-3553-41437-76028,7903-17481-29793-29793-3483-3976-22580-47857,19204-22024-14528-14528-11492-3827-16844-24975,3921-13553-11110-11110-25028-2598-8357-13391,5409-9173-11741-11741-8069-1172-7146-3276,difficult,no
50242-1788063-150530-34513-115304-44015-44015-148716,27341-963012-112291-14600-77996-8802-8802-149349,2206-167665-31716-5370-21794-14905-14905-19061,2860-380310-15948-1506-7347-1963-1963-6038,6380-702422-25247-1992-22044-6247-6247-17535,21784-309062-19567-3011-27169-2510-2510-15195,14559-95068-19619-5213-23612-5511-5511-14937,12456-30798-5904-2447-10795-1900-1900-6586,easy,no
250247-24007-24007-56314-1000842-181558-181558-42929,189862-8350-8350-11918-224887-125933-125933-6663,49758-2017-2017-9072-12292-5982-5982-2745,19461-8751-8751-3921-50729-11752-11752-11754,16728-27008-27008-24042-33946-11112-11112-10487,17730-19722-19722-32095-17535-24062-24062-22808,7945-8894-8894-10751-17003-25832-25832-10831,11903-14064-14064-7220-11883-5218-5218-4166,easy,yes
273856-45327-251776-115947-17424-146044-126722-527065,59616-75279-122220-49571-13134-32073-36131-173721,3751-40465-30192-7978-3025-17516-5467-6319,3874-16229-25303-26711-5223-21224-1462-11014,5182-58840-20755-22246-8848-18087-2005-17742,4115-14237-13985-18501-24643-51060-3177-20590,2566-12250-24249-28469-21630-11377-2325-12138,1511-8909-3809-6315-11059-15138-1949-7910,difficult,yes
5430-276065-89587-200839-47961-92119-250052-45426,4612-22174-31554-69756-11070-70933-147379-44534,2938-4023-4056-20700-1376-39555-35037-11862,4257-4442-2495-24911-826-9639-17286-5575,12174-8566-3539-17177-3891-20846-21134-21177,36295-3344-5256-13634-2859-14168-21425-10552,17680-6216-4528-12826-2862-17318-19996-13492,9747-2032-2281-6672-3433-6278-9871-4027,difficult,yes
127359-42962-121459-69005-46010-350793-350793-2057,33220-16581-29084-13177-15312-144608-144608-4535,8219-7874-11631-10888-5676-5504-5504-1685,1310-3665-3464-3582-5485-11844-11844-9796,5252-930-4741-4572-31917-20770-20770-10622,22470-4097-5264-10156-24245-16356-16356-8337,32390-6989-5305-5307-16451-24778-24778-5142,6875-3357-2248-1284-4507-6386-6386-9994,easy,yes
