delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
796474-485067-944556-214287-1700252-343477-241514-98422,242928-162566-302970-35967-173478-93087-76280-21656,76633-39446-114656-20385-13378-73447-11848-10537,35858-48763-49195-6141-19848-11486-19580-9058,10328-38772-35384-12357-27689-25165-12616-6348,33868-24372-58847-8062-71165-35498-9913-13775,15671-25639-39172-6329-19818-22286-4995-7967,33988-12282-38820-2788-12510-9845-3451-2921,difficult,yes
1021474-151300-54302-88934-1206679-1249654-43013-25898,971075-17367-51380-71103-43199-41643-1578-1230,10679-260-15729-15574-52907-39072-557-8041,31311-3288-11542-23405-20655-2970-1033-9866,37841-2990-15148-33938-13329-4938-1049-8260,41164-20269-38237-18839-39124-16417-2504-49356,40277-2867-27804-6025-11925-8122-1318-26212,31584-3634-18118-4046-3705-4886-1768-11926,easy,yes
134862-214615-5116-28176-1083940-81892-5987-3656,79166-59778-2602-40274-66518-31025-8175-3946,11251-15679-2612-4406-17144-9796-7156-4635,30860-9612-6770-2355-6875-1382-8131-7655,20821-4274-2449-8720-5829-898-20232-24177,51576-15567-16787-22757-12940-5948-62190-35857,31858-6636-5788-12230-10032-7526-10673-7157,15047-4419-2561-2931-3768-3790-8304-9923,easy,yes
118582-2866-59251-391517-100855-4104-5331-2133,24700-13533-5107-45155-103663-4882-5646-11254,1627-3290-8224-3681-5546-1844-3354-3552,8259-5022-7296-7220-5508-4692-3725-4781,6550-9132-3925-10315-13496-14156-2712-7731,21487-50457-74097-27688-49485-27925-49826-23306,3581-25803-21760-12838-36940-23071-5296-27602,2639-10054-14001-10991-7067-6333-10359-16489,easy,yes
9799-50926-217887-6076-4550-55722-29730-44670,2844-4838-87289-14543-5485-9793-26198-5372,5725-4161-9997-1571-1247-4318-7255-2429,4956-15546-8976-24992-861-5598-2935-3344,717-6772-7042-10466-4869-13701-11419-4455,7448-46673-9486-32975-15393-17638-59382-10611,3749-16085-3597-17000-6264-7746-19034-5397,4786-8255-5881-10496-3059-12025-19418-1599,easy,no
10718-37507-13765-252223-61249-131962-68563-5649,4425-33026-15874-38998-15332-40619-35078-6507,5976-901-23640-20240-3525-7947-11542-4070,4494-2418-29326-7729-1330-9473-4603-1836,14437-5802-22588-24313-460-17083-2516-2442,16715-5084-13300-22982-4090-35891-7552-5316,11807-4327-12340-8479-2113-14474-4373-4026,10899-2059-5129-11697-3146-5658-2343-1465,easy,yes
26297-108750-112466-6851-8231-2605-7227-16097,7333-11547-44661-3643-18666-10525-7919-9871,16715-2873-5579-25189-5943-5097-3029-3608,6187-2507-4447-8366-1800-3873-6269-13945,6118-2586-3454-18373-11792-9938-12090-11587,15119-11258-7822-19720-24969-16079-25781-27242,6835-1277-3737-11447-12600-19100-9409-12722,4544-1808-3378-7514-13797-7153-8404-7641,difficult,no
6523-108030-9043-2107667-61196-77573-83989-7752,8067-40982-37350-26316-1641-29459-34648-8878,1575-2559-14361-16500-186-266-1910-2430,6217-2964-10415-6197-3843-1479-2507-9426,14547-7096-9554-27350-2075-2788-9117-2268,70079-3938-59964-32556-3901-4854-28284-29523,16062-5935-27786-17737-2726-2991-4424-6982,20538-3054-8247-13812-1829-2390-6814-6169,difficult,no
5134-57477-4020-147977-56043-28059-92284-23096,4052-43305-3759-41609-6529-8218-12500-2722,15301-31120-828-22265-6211-9377-8466-1860,9355-2587-1399-5964-10397-7776-9700-1134,12662-6644-4364-3664-6335-13904-8244-1013,24854-5654-9370-6421-16673-54065-23290-13861,8241-6805-4265-2117-9624-20935-23660-1830,11259-1978-2082-2308-7300-3996-9912-1842,easy,yes
17211-267411-5798-27903-23506-13172-36924-7463,21962-28791-5307-6643-30063-5330-13025-2306,8518-209-1591-2283-7636-9061-7188-1860,15970-1036-925-2745-2973-7644-8327-1120,7054-6288-4305-6970-3535-10866-19546-2966,83734-42293-5409-14825-21057-49989-27114-7902,7323-6066-5031-7693-9115-18836-13684-1480,18334-8203-1611-5765-12452-9979-12818-3120,easy,yes
11046-157069-1988-268220-8551-7318-13863-11405,19267-17132-8960-7662-2582-17903-3968-16414,3918-3256-1367-5175-2712-2158-2889-17243,13720-6634-3324-2886-2778-5771-9202-4285,8229-2476-4362-6255-5725-14030-11848-6207,23613-6708-4465-27073-4530-20141-26419-26318,6658-3357-2057-11246-3804-8895-8005-11984,8748-3217-962-4006-1134-5790-5062-8361,difficult,yes
15250-68365-5786-2375-11812-30600-12762-125437,6473-8519-4761-7853-6104-7134-2387-8755,3820-9012-1930-2030-14905-2470-467-5067,1780-8944-2760-10086-3288-10370-1987-2213,5175-6291-4351-9801-9047-10031-3963-11946,4076-8103-3177-30621-27807-39401-15649-20455,2508-10358-1875-8195-17667-7222-2258-10181,1910-6618-1872-5378-5335-5393-1025-2542,easy,yes
3956-7231-7283-11131-200381-17679-1688595-547858,4018-2157-7073-8065-21321-4902-377456-23745,4840-1406-7685-4125-1321-2019-15447-3690,2169-1922-5327-1834-2266-39619-29750-3187,3468-10275-8207-4034-2085-47370-11135-9126,5292-17987-11298-4923-5424-32059-81417-26694,1633-7508-9673-2011-3499-2449-18677-27289,2554-11299-6779-2913-1269-15649-18132-11526,difficult,yes
9821-22792-8778-4770-10749-5167-128668-435546,18012-39192-48660-32726-12827-3977-41391-264016,6467-17088-7252-10408-3619-3027-18287-17225,13728-4785-7231-7756-7542-797-40352-46326,14616-8889-35197-12729-13501-1611-14477-7968,21276-36262-29725-27080-20737-6119-72777-34175,7135-7961-12242-7395-9179-12865-35391-73774,6820-14350-21346-8750-11270-1656-20256-12102,easy,yes
143850-8514-31014-928-145385-12482-7779-2833,10213-7423-39628-3976-3932-1184-2841-786,2311-210-15445-6687-5827-2127-1413-4385,3280-4150-10513-9506-23470-2067-6429-13044,5827-1421-15138-6083-16022-5040-18649-11402,16031-7807-14361-11069-21389-7941-31106-31239,6605-3716-50606-5499-14455-1035-16481-10290,1432-3246-19058-7454-13469-2177-5718-3181,easy,yes
334001-74327-195581-112078-1230-191890-661212-975252,13668-21430-15469-29770-2847-71237-201353-118282,6024-7037-5694-7813-1808-34071-136668-160741,8074-13365-7953-11673-11435-42722-108244-55373,19514-5087-7686-12249-11071-51087-58543-18297,63010-22886-7186-34474-18987-36645-59491-56323,25937-2264-4402-9884-39633-26674-18992-12734,10411-2063-4277-10771-13233-9520-10471-5561,difficult,no
45717-871634-28644-31799-40547-369255-3989-121265,12613-161258-28133-4607-31347-16107-2163-51543,5554-19359-7499-966-651-3728-724-5778,13247-11728-3289-625-775-5469-2595-3742,13472-8600-29330-1203-8284-3804-1332-5845,22830-14083-9480-15625-10595-6932-7185-26212,16849-10604-15147-2812-4666-8385-4617-5985,14082-4127-13177-2317-3027-1499-2961-2166,easy,yes
46772-262216-101293-97091-194789-16968-19178-57970,17931-235217-42263-7472-110100-22322-5242-92719,1904-16049-9326-721-13127-9403-5867-26237,1547-6542-5048-1771-8227-12258-14865-10433,933-11789-3288-4701-19179-25524-18362-18217,3278-8342-14086-8970-35291-56857-47217-32048,4162-21228-5968-8493-42543-8544-14835-11759,1857-3606-3438-4036-5819-11544-7208-12124,easy,yes
